model_input_clean,mod_input_raw,dat_output,check,variable_description,accum_op,source_file
comid,COMID,comid,NA,Unique segment identifier used in NHDPlus V2.,"NA",NA
comid_wy,COMID_WY,comid_wy,NA,Unique segment identifier used in NHDPlus V2.,"NA",NA
wa_yr,WaYr,wa_yr,NA,water year,"NA",NA
ppt_jan_wy,ppt_Jan.wy,ppt_jan_wy,NA,PRISM derived,avg of catchment values,NA
ppt_feb_wy,ppt_Feb.wy,ppt_feb_wy,NA,PRISM derived,avg of catchment values,NA
ppt_mar_wy,ppt_Mar.wy,ppt_mar_wy,NA,PRISM derived,avg of catchment values,NA
ppt_apr_wy,ppt_Apr.wy,ppt_apr_wy,NA,PRISM derived,avg of catchment values,NA
ppt_may_wy,ppt_May.wy,ppt_may_wy,NA,PRISM derived,avg of catchment values,NA
ppt_jun_wy,ppt_Jun.wy,ppt_jun_wy,NA,PRISM derived,avg of catchment values,NA
ppt_jul_wy,ppt_Jul.wy,ppt_jul_wy,NA,PRISM derived,avg of catchment values,NA
ppt_aug_wy,ppt_Aug.wy,ppt_aug_wy,NA,PRISM derived,avg of catchment values,NA
ppt_sep_wy,ppt_Sep.wy,ppt_sep_wy,NA,PRISM derived,avg of catchment values,NA
ppt_oct_wy,ppt_Oct.wy,ppt_oct_wy,NA,PRISM derived,avg of catchment values,NA
ppt_nov_wy,ppt_Nov.wy,ppt_nov_wy,NA,PRISM derived,avg of catchment values,NA
ppt_dec_wy,ppt_Dec.wy,ppt_dec_wy,NA,PRISM derived,avg of catchment values,NA
ppt_jan_pwy,ppt_Jan.pwy,ppt_jan_pwy,NA,PRISM derived,avg of catchment values,NA
ppt_feb_pwy,ppt_Feb.pwy,ppt_feb_pwy,NA,PRISM derived,avg of catchment values,NA
ppt_mar_pwy,ppt_Mar.pwy,ppt_mar_pwy,NA,PRISM derived,avg of catchment values,NA
ppt_apr_pwy,ppt_Apr.pwy,ppt_apr_pwy,NA,PRISM derived,avg of catchment values,NA
ppt_may_pwy,ppt_May.pwy,ppt_may_pwy,NA,PRISM derived,avg of catchment values,NA
ppt_jun_pwy,ppt_Jun.pwy,ppt_jun_pwy,NA,PRISM derived,avg of catchment values,NA
ppt_jul_pwy,ppt_Jul.pwy,ppt_jul_pwy,NA,PRISM derived,avg of catchment values,NA
ppt_aug_pwy,ppt_Aug.pwy,ppt_aug_pwy,NA,PRISM derived,avg of catchment values,NA
ppt_sep_pwy,ppt_Sep.pwy,ppt_sep_pwy,NA,PRISM derived,avg of catchment values,NA
tav_jan_wy,tav_Jan.wy,tav_jan_wy,NA,PRISM derived,avg of catchment values,NA
tav_feb_wy,tav_Feb.wy,tav_feb_wy,NA,PRISM derived,avg of catchment values,NA
tav_mar_wy,tav_Mar.wy,tav_mar_wy,NA,PRISM derived,avg of catchment values,NA
tav_apr_wy,tav_Apr.wy,tav_apr_wy,NA,PRISM derived,avg of catchment values,NA
tav_may_wy,tav_May.wy,tav_may_wy,NA,PRISM derived,avg of catchment values,NA
