comid,cat_basin_area,cat_basin_slope,cat_elev_mean,cat_elev_min,cat_elev_max,cat_stream_slope,cat_stream_length,pct,eco3,cat_hlr_1,cat_hlr_2,cat_hlr_3,cat_hlr_4,cat_hlr_5,cat_hlr_6,cat_hlr_7,cat_hlr_8,cat_hlr_9,cat_hlr_10,cat_hlr_11,cat_hlr_12,cat_hlr_13,cat_hlr_14,cat_hlr_15,cat_hlr_16,cat_hlr_17,cat_hlr_18,cat_hlr_19,cat_hlr_20,cat_ppt7100_ann,acc_ppt7100_ann,tot_ppt7100_ann,cat_tav7100_ann,acc_tav7100_ann,tot_tav7100_ann,cat_tmin7100,acc_tmin7100,tot_tmin7100,cat_tmax7100,acc_tmax7100,tot_tmax7100,cat_minp6190,acc_minp6190,tot_minp6190,cat_maxp6190,acc_maxp6190,tot_maxp6190,cat_wdjan,cat_wdfeb,cat_wdmar,cat_wdapr,cat_wdmay,cat_wdjun,cat_wdjul,cat_wdaug,cat_wdsep,cat_wdoct,cat_wdnov,cat_wddec,cat_cwd,acc_cwd,tot_cwd,cat_wdann,acc_wdann,tot_wdann,cat_minwd6190,acc_minwd6190,tot_minwd6190,cat_maxwd6190,acc_maxwd6190,tot_maxwd6190,cat_et,acc_et,tot_et,cat_pet,acc_pet,tot_pet,cat_rh,acc_rh,tot_rh,cat_prsnow,acc_prsnow,tot_prsnow,cat_fstfz6190,acc_fstfz6190,tot_fstfz6190,cat_lstfz6190,acc_lstfz6190,tot_lstfz6190,cat_contact,acc_contact,tot_contact,cat_bfi,acc_bfi,tot_bfi,cat_twi,acc_twi,tot_twi,cat_satof,acc_satof,tot_satof,cat_kfact,cat_kfact_up,cat_no10ave,cat_no200ave,cat_no4ave,cat_om,cat_permave,cat_rfact,cat_rockdep,cat_bdave,cat_awcave,cat_wtdep,cat_ieof,acc_ieof,tot_ieof,cat_siltave,cat_clayave,cat_sandave,cat_hga,cat_hgac,cat_hgad,cat_hgb,cat_hgbc,cat_hgbd,cat_hgc,cat_hgcd,cat_hgd,cat_hgvar,cat_bushreed1,cat_bushreed2,cat_bushreed3,cat_bushreed4,cat_bushreed5,cat_bushreed6,cat_bushreed8,cat_bushreed9,cat_bushreed10,cat_hunt1,cat_hunt2,cat_hunt3,cat_hunt4,cat_hunt5,cat_hunt6,cat_hunt7,cat_hunt8,cat_hunt9,cat_hunt10,cat_hunt11,cat_hunt12,cat_hunt13,cat_hunt14,cat_hunt15,cat_hunt16,cat_hunt17,cat_hunt18,cat_hunt19,cat_hunt20,cat_hunt21,cat_hunt22,cat_hunt23,cat_hunt24,cat_hunt25,cat_hunt26,cat_hunt27,cat_hunt28,cat_hunt29,cat_hunt30,cat_hunt31,cat_hunt32,cat_hunt33,cat_hunt34,cat_hunt35,cat_hunt36,cat_hunt37,cat_hunt38,cat_hunt39,cat_hunt40,cat_hunt41,cat_hunt42,cat_hunt43,cat_hunt44,cat_hunt45,cat_olson_k,cat_olson_cao,cat_olson_fe,cat_olson_mgo,cat_olson_p,cat_olson_s,cat_olson_si,cat_olson_ucs,cat_olson_perm,cat_rechg,acc_rechg,tot_rechg,krug_runoff
3917070,1.65,27.33,2060.76,1755.53,2383.05,0.16,1.017,100,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.27,0,96.73,0,0,0,734.63,734.63,734.63,5.36,5.36,5.36,-0.78,-0.78,-0.78,11.04,11.04,11.04,12.99,12.99,12.99,129.29,129.29,129.29,11,9,10.75,7.75,6,5,2,3,4,7,11.75,12.75,2.36,2.36,2.36,90.02,90.02,90.02,2,2,2,12.99,12.99,12.99,461,461,461,457.58,457.58,457.58,66.28,66.28,66.28,39,39,39,254.42,254.42,254.42,179.17,179.17,179.17,31,31,31,72,72,72,8.45,8.45,8.45,0,0,0,0.26,0.16,64.15,29.71,69.77,0.77,6.04,330,54.32,1.23,0.08,5.98,0,0,0,31.97,14.06,53.97,43.67,0,0,41.82,0,0,9.67,0,4.84,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,87.98,87.98,87.98,5
3917072,0.09,22.77,1866.02,1772.7,1939.18,0,0.213,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,698.86,698.86,698.86,6,6,6,0.13,0.13,0.13,12.21,12.21,12.21,13,13,13,130,130,130,11,9,10,7,6,5,2,3,4,7,11,12,2.36,2.36,2.36,87,87,87,2,2,2,13,13,13,503,503,503,473,473,473,65,65,65,39,39,39,257,257,257,174,174,174,31,31,31,72,72,72,9.86,9.86,9.86,0,0,0,0.3,0.19,64.93,40.8,70.22,1.07,1.91,330,50.32,1.24,0.1,6,0,0,0,40.43,22.4,37.16,7,0,0,69,0,0,17,0,7,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,89,89,89,5
3917082,1.48,17.18,2060.7,1795.61,2369.93,0.01,0.191,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,99.58,0,0,0,0,0,659.49,659.49,659.49,5.55,5.55,5.55,-0.76,-0.76,-0.76,11.61,11.61,11.61,11.9,11.9,11.9,104.31,104.31,104.31,9.65,8.65,9.65,6.79,6,5,2,3,3.75,5.86,10.81,10.85,2.36,2.36,2.36,82.01,82.01,82.01,2,2,2,11.13,11.13,11.13,484,484,484,454.64,454.64,454.64,63.44,63.44,63.44,39.6,39.6,39.6,251.86,251.86,251.86,182.09,182.09,182.09,6.13,6.13,6.13,72,72,72,9.35,9.35,9.35,0,0,0,0.17,0.13,63.13,15.08,69.16,0.39,11.49,235,59.6,1.21,0.06,5.95,0,0,0,20.82,3.07,76.11,92,0,0,6,0,0,0,0,2,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,80.15,80.15,80.15,5
3917084,15,12.38,1975.96,1797.03,2369.24,0.02,2.416,100,4,0,0,0,0,0,0,0,0,0,0,0,3.76,0,1.73,94.33,0,0.18,0,0,0,688.26,688.26,688.26,5.08,5.08,5.08,-0.18,-0.18,-0.18,11.87,11.87,11.87,12.12,12.12,12.12,116.37,116.37,116.37,10.18,8.92,9.95,6.99,6,5,2,3,3.95,6.01,11.53,11.67,2.36,2.36,2.36,85.21,85.21,85.21,2,2,2,11.92,11.92,11.92,494,494,494,441.89,441.89,441.89,65.1,65.1,65.1,39.87,39.87,39.87,252.07,252.07,252.07,183.07,183.07,183.07,6.11,6.11,6.11,72,72,72,9.7,9.7,9.7,0,0,0,0.2,0.14,64.35,20.07,70.11,0.59,10.03,273.69,57.31,1.24,0.07,5.74,0,0,0,24.93,5.53,69.53,78.57,0,0,6.83,0,0,3.05,0,11.55,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,82.63,82.63,82.63,5
3917106,10.2,19.59,1850.99,1476.92,2369.53,0.11,2.904,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,98.27,0,0.75,0,0,0,638.38,667.6,667.6,5.83,5.39,5.39,0.49,0.05,0.05,12.75,12.19,12.19,10.92,11.65,11.65,96.05,107.93,107.93,9.24,8.24,9.24,6.35,6,5,2,3,3.01,5.89,10.31,10.64,2.36,2.36,2.36,78.91,82.62,82.62,2,2,2,10.49,11.33,11.33,488,491,491,464.16,451.11,451.11,63.54,64.41,64.41,38.01,39.14,39.14,253.15,252.47,252.47,179.73,181.74,181.74,15.93,9.87,9.87,72.94,72.36,72.36,9.65,9.66,9.66,0,0,0,0.21,0.15,63.63,22.32,69.46,0.58,8.8,256.14,56.98,1.22,0.07,5.96,0,0,0,26.34,8.51,65.15,68.07,0,0,23.74,0,0,4.79,0,3.41,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,84.44,83.18,83.18,5
3917114,1.99,20.25,1617.72,1342.13,1906.96,0.16,2.184,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,0,98.46,0,0,0,615.53,615.53,615.53,5.75,5.75,5.75,1.82,1.82,1.82,14.14,14.14,14.14,11.4,11.4,11.4,117.1,117.1,117.1,10.19,9,10,7,6,5,2,3,3.26,6.19,11.07,12,2.36,2.36,2.36,84.71,84.71,84.71,2,2,2,12.03,12.03,12.03,495,495,495,471.91,471.91,471.91,65,65,65,37.51,37.51,37.51,255.4,255.4,255.4,176.9,176.9,176.9,43.11,43.11,43.11,71.81,71.81,71.81,9.72,9.72,9.72,0,0,0,0.3,0.19,64.93,40.8,70.22,1.07,1.91,312,50.32,1.24,0.1,6,0,0,0,40.43,22.4,37.16,7,0,0,69,0,0,17,0,7,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,88.53,88.53,88.53,10
3917130,9.17,20.13,1652.54,1345.6,2245.53,0.04,2.954,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02,0,96.98,0,0,0,623.47,620.59,620.59,5.87,5.99,5.99,1.39,1.02,1.02,13.74,12.93,12.93,11.22,11.17,11.17,110.65,100.15,100.15,9.84,8.84,9.84,6.84,6.11,5,2,3,3.02,6,10.85,11.48,2.36,2.36,2.36,82.81,79.14,79.14,2,2,2,11.67,10.72,10.72,500,480,480,475.49,473.04,473.04,64.99,63.89,63.89,37.62,38.23,38.23,255.03,253.67,253.67,177.14,178.57,178.57,37.32,46.48,46.48,72.24,72.96,72.96,9.83,9.73,9.73,0,0,0,0.3,0.18,64.84,39.41,70.17,1.03,2.42,312,50.82,1.23,0.1,6,0,0,0,39.37,21.36,39.27,11.59,0,0,65.6,0,0,16.08,0,6.73,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.9,5.97,6.87,3.25,0.25,0.02,59.33,124.51,0.33,88.98,86.23,86.23,10
3917136,1.79,17.09,1992.28,1739.26,2222.34,0.08,0.5,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,95.53,0,0,0,0,0,650.56,650.56,650.56,5.98,5.98,5.98,0.3,0.3,0.3,12.42,12.42,12.42,11,11,11,89.39,89.39,89.39,8.15,7.15,8.15,6,6,5,2,3,3,5.15,9.5,9.6,2.36,2.36,2.36,72.69,72.69,72.69,2,2,2,10,10,10,464,464,464,480.8,480.8,480.8,62.49,62.49,62.49,37.86,37.86,37.86,252.54,252.54,252.54,179.95,179.95,179.95,16.62,16.62,16.62,74,74,74,8.37,8.37,8.37,0,0,0,0.22,0.15,63.71,23.46,69.51,0.61,8.37,230.77,56.58,1.22,0.07,5.97,0,0,0,27.21,9.36,63.43,64.32,0,0,26.51,0,0,5.54,0,3.63,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,82.53,82.53,82.53,5
3917138,0.12,20.25,1818.09,1729.72,1962.52,0,0.193,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,622.54,622.54,622.54,5.9,5.9,5.9,1.46,1.46,1.46,13.47,13.47,13.47,11,11,11,91,91,91,8,7,8,6,6,5,2,3,3,5,9,9,2.36,2.36,2.36,71,71,71,2,2,2,10,10,10,445,445,445,486.18,486.18,486.18,63,63,63,38,38,38,253,253,253,180,180,180,16,16,16,74,74,74,8.26,8.26,8.26,0,0,0,0.3,0.18,64.76,38.27,70.12,1,2.85,221.61,51.24,1.23,0.1,6,0,0,0,38.5,20.5,41,15.37,0,0,62.8,0,0,15.33,0,6.51,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,84.36,84.36,84.36,5
3917154,7.43,22.21,1696.75,1266.04,2342.01,0.11,4.663,100,4,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,1.37,0,98.62,0,0,0,656.93,671.33,671.33,5.75,5.69,5.69,1.38,0.98,0.98,13.34,12.91,12.91,12.42,12.53,12.53,125.44,126.18,126.18,10.66,9,10.2,7.2,6.13,5,2,3,3.66,6.66,11.08,12.08,2.36,2.36,2.36,86.68,87.29,87.29,2,2,2,12.6,12.67,12.67,504,496,496,473.75,470.83,470.83,65.22,65.41,65.41,38.56,38.64,38.64,255.95,255.68,255.68,176.14,176.67,176.67,34.71,34.01,34.01,71.83,71.86,71.86,9.93,9.66,9.66,0,0,0,0.29,0.18,64.74,37.99,70.11,0.99,2.95,320.29,51.34,1.23,0.1,5.99,0,0,0,38.29,20.29,41.42,16.3,0,0,62.11,0,0,15.14,0,6.45,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.71,6.76,7.88,3.93,0.27,0.02,57.36,139.38,0.47,88.89,88.73,88.73,10
