comid_catch,comid_flowline,area_old,area_sf,area_weight,GRIDCODE,upper
3917920,3917198,2.5083,2.508,0.007611093745732417,1387760,NA
3917160,3917198,5.346,5.33,0.016175091572868335,1387907,NA
3917158,3917198,2.151,2.151,0.006527696430251367,1387911,NA
3917198,3917198,0.3123,0.312,9.468346286557074e-4,1387441,NA
3917200,3917200,0.0756,0.076,2.3063920441613385e-4,1387580,NA
3917222,3917200,2.3112,2.311,0.007013252650074807,1387925,NA
3917244,3917244,12.1383,12.119,0.03677784892525166,1387277,NA
3917928,3917244,12.9699,3.655,0.0110919248965917,1387724,NA
948010095,3917244,6.0309,6.027,0.018290295855474193,1387737,NA
3917216,3917244,1.629,1.628,0.004940534536703498,1387810,NA
3917230,3917244,2.8152,2.815,0.008542754742518642,1387841,NA
3917946,3917946,12.8934,12.8,0.03884449758587518,1387551,NA
3917252,3917946,11.9349,0.007,2.1243084617275487e-5,1387559,NA
948010093,3917946,0.9828,0.005,1.5173631869482491e-5,1387655,NA
948010094,3917946,0.1755,0.001,3.034726373896498e-6,1387682,NA
3917940,3917946,2.5137,2.494,0.007568607576497867,1387809,NA
3917242,3917946,0.54,0.087,2.640211945289953e-4,1387926,NA
948010047,3917948,0.2502,0.25,7.586815934741245e-4,1387495,NA
948010096,3917948,2.1528,2.153,0.00653376588299916,1387557,NA
3917924,3917948,5.5305,5.529,0.01677900212127374,1387647,NA
3917926,3917948,3.0987,3.087,0.00936820031621849,1387707,NA
3917922,3917948,9.7434,9.736,0.029546095976256306,1387773,NA
3917948,3917948,3.1923,3.192,0.009686846585477622,1387820,NA
948010092,3917948,0.3159,0.316,9.589735341512934e-4,1387824,NA
948010091,3917948,2.6406,2.641,0.008014712353460652,1387825,NA
948010048,3917948,0.0504,0.05,1.5173631869482492e-4,1387832,NA
3917100,3917948,1.3194,1.312,0.003981561002552206,1387868,NA
948010046,3917948,0.117,0.117,3.550629857458903e-4,1387884,NA
948010089,3917948,0.9558,0.956,0.002901198413445052,1387900,NA
3917278,3917950,3.3165,3.313,0.0100540484767191,1387637,NA
3917256,3917950,1.9089,1.909,0.005793292647768415,1387638,NA
3917286,3917950,0.5517,0.552,0.001675168958390867,1387639,NA
3917220,3917950,0.0081,0.008,2.4277810991171985e-5,1387678,NA
3917272,3917950,5.1201,5.12,0.015537799034350071,1387681,NA
3917270,3917950,2.925,2.925,0.008876574643647257,1387694,NA
3917960,3917950,6.4548,6.413,0.019461700235798244,1387697,NA
3917956,3917950,10.5615,10.532,0.03196173816987792,1387720,NA
3917282,3917950,2.8611,2.851,0.008652004891978916,1387726,NA
3917226,3917950,0.0162,0.016,4.855562198234397e-5,1387728,NA
3917276,3917950,3.9168,3.905,0.011850606490065824,1387741,NA
3917952,3917950,5.8923,5.892,0.017880607794998168,1387746,NA
3917250,3917950,7.6464,7.646,0.023203517854812623,1387749,NA
3917284,3917950,2.0943,2.077,0.006303126678583027,1387751,NA
3917268,3917950,1.0773,1.077,0.0032684003046865285,1387768,NA
3917950,3917950,16.7958,16.773,0.05090146546936596,1387808,NA
3917266,3917950,1.1664,1.166,0.0035384909519633164,1387812,NA
3917382,3917950,25.3152,6.011,0.01824174023349185,1387816,NA
3917214,3917950,1.3284,1.328,0.004030116624534549,1387827,NA
3917274,3917950,0.2259,0.226,6.858481605006085e-4,1387839,NA
3917280,3917950,1.4742,1.474,0.004473186675123438,1387847,NA
3917228,3917950,1.0242,1.024,0.003107559806870014,1387861,NA
3917958,3917950,3.8988,3.899,0.011832398131822446,1387878,NA
3917954,3917950,2.3463,2.237,0.006788682898406466,1387889,NA
3917218,3917950,1.3752,1.375,0.004172748764107685,1387896,NA
3917212,3917950,11.259,11.259,0.034167984243700676,1387922,NA
3917918,3917918,13.1157,13.116,0.03980347112002647,1387105,TRUE
3917130,3917130,9.171,9.171,0.02783147557500478,1387280,TRUE
3917106,3917106,10.2033,10.197,0.030945104834622587,1387376,TRUE
3917172,3917172,8.1387,8.114,0.024623769797796187,1387472,TRUE
3917912,3917912,5.4702,5.47,0.016599953265213845,1387477,TRUE
3917162,3917162,7.2063,7.206,0.021868238250298166,1387524,TRUE
3917176,3917176,4.7565,4.756,0.014433158634251746,1387539,TRUE
3917178,3917178,6.2091,6.209,0.018842616055523356,1387545,TRUE
3917084,3917084,15.0039,14.966,0.04541771491173499,1387598,TRUE
3917070,3917070,1.6524,1.649,0.005004263790555325,1387636,TRUE
3917164,3917164,9.2826,9.275,0.028147087117890022,1387665,TRUE
3917154,3917154,7.4286,7.429,0.022544982231677085,1387721,TRUE
3917114,3917114,1.989,1.989,0.006036070757680135,1387758,TRUE
3917082,3917082,1.4832,1.483,0.004500499212488507,1387801,TRUE
3917072,3917072,0.0864,0.086,2.6098646815509883e-4,1387821,TRUE
3917136,3917136,1.791,1.789,0.005429125482900835,1387846,TRUE
3917916,3917916,9.0162,9.016,0.027361092987050827,1387853,TRUE
3917914,3917914,10.4634,10.426,0.03164005717424489,1387869,TRUE
3917138,3917138,0.1188,0.119,3.6113243849368327e-4,1387886,TRUE
3917194,3917194,19.2456,19.2,0.05826674637881276,1387891,TRUE
3917156,3917156,3.1797,3.18,0.009650429868990864,1387912,TRUE
