COMID,ACC_AWD_OXN_T_07,ACC_AWD_REDN_T_07,ACC_AWD_S_T_07,ACC_AWD_SS_S_07,ACC_AWDEP_CL_07,ACC_AWDEP_NA_07,ACC_DD_OXN_T_07,ACC_DD_REDN_T_07,ACC_DD_S_T_07,ACC_DD_SS_S_07,ACC_DDEP_CL_07,ACC_DDEP_NA_07,ACC_TD_OXN_T_07,ACC_TD_REDN_T_07,ACC_TD_S_T_07,ACC_TD_SS_S_07,ACC_TDEP_CL_07,ACC_TDEP_NA_07,ACC_TD_N_07,source
3917070,0.2,0.23,0.33,0.07,1.66,1.04,1.28,0.71,0.43,0.13,2.42,1.99,1.48,0.94,0.75,0.2,4.07,3.02,2.42,ACC_CMAQ07_CONUS
3917072,0.2,0.23,0.33,0.07,1.66,1.04,1.28,0.71,0.43,0.13,2.42,1.99,1.48,0.94,0.75,0.2,4.07,3.02,2.42,ACC_CMAQ07_CONUS
3917082,0.13,0.16,0.2,0.04,0.85,0.55,1.13,0.8,0.4,0.12,2.27,1.85,1.25,0.95,0.6,0.16,3.13,2.39,2.2,ACC_CMAQ07_CONUS
3917084,0.17,0.2,0.27,0.05,1.33,0.84,1.22,0.75,0.42,0.13,2.36,1.93,1.39,0.94,0.69,0.18,3.69,2.77,2.33,ACC_CMAQ07_CONUS
3917106,0.16,0.19,0.26,0.05,1.25,0.79,1.2,0.76,0.42,0.13,2.34,1.91,1.37,0.94,0.67,0.18,3.59,2.71,2.31,ACC_CMAQ07_CONUS
3917114,0.2,0.23,0.33,0.07,1.66,1.04,1.28,0.71,0.43,0.13,2.42,1.99,1.48,0.94,0.75,0.2,4.07,3.02,2.42,ACC_CMAQ07_CONUS
3917130,0.15,0.17,0.24,0.05,1.15,0.73,1.24,0.75,0.43,0.12,2.29,1.91,1.39,0.92,0.66,0.17,3.45,2.64,2.31,ACC_CMAQ07_CONUS
3917136,0.1,0.14,0.16,0.03,0.61,0.4,1.08,0.82,0.39,0.12,2.23,1.8,1.19,0.95,0.55,0.14,2.84,2.21,2.14,ACC_CMAQ07_CONUS
3917138,0.1,0.14,0.16,0.03,0.61,0.4,1.08,0.82,0.39,0.12,2.23,1.8,1.19,0.95,0.55,0.14,2.84,2.21,2.14,ACC_CMAQ07_CONUS
3917154,0.2,0.23,0.33,0.07,1.66,1.04,1.28,0.71,0.43,0.13,2.42,1.99,1.48,0.94,0.75,0.2,4.07,3.02,2.42,ACC_CMAQ07_CONUS
3917156,0.2,0.23,0.33,0.07,1.66,1.04,1.28,0.71,0.43,0.13,2.42,1.99,1.48,0.94,0.75,0.2,4.07,3.02,2.42,ACC_CMAQ07_CONUS
3917158,0.18,0.23,0.27,0.05,1.14,0.73,0.82,0.73,0.23,0.06,1.05,0.89,1,0.96,0.5,0.11,2.19,1.63,1.95,ACC_CMAQ07_CONUS
3917160,0.18,0.23,0.27,0.05,1.16,0.75,0.84,0.73,0.24,0.06,1.11,0.95,1.02,0.95,0.51,0.11,2.28,1.69,1.98,ACC_CMAQ07_CONUS
3917162,0.15,0.18,0.24,0.05,1.2,0.76,1.24,0.75,0.43,0.12,2.3,1.92,1.39,0.92,0.67,0.17,3.5,2.67,2.32,ACC_CMAQ07_CONUS
3917164,0.2,0.23,0.33,0.07,1.66,1.04,1.28,0.71,0.43,0.13,2.42,1.99,1.48,0.94,0.75,0.2,4.07,3.02,2.42,ACC_CMAQ07_CONUS
3917172,0.2,0.23,0.33,0.07,1.66,1.04,1.28,0.71,0.43,0.13,2.42,1.99,1.48,0.94,0.75,0.2,4.07,3.02,2.42,ACC_CMAQ07_CONUS
3917176,0.16,0.19,0.27,0.05,1.33,0.83,1.26,0.74,0.43,0.13,2.33,1.93,1.42,0.93,0.69,0.18,3.65,2.77,2.34,ACC_CMAQ07_CONUS
3917178,0.16,0.19,0.26,0.05,1.29,0.81,1.25,0.74,0.43,0.13,2.32,1.93,1.41,0.93,0.69,0.18,3.61,2.74,2.34,ACC_CMAQ07_CONUS
3917194,0.14,0.15,0.22,0.05,1.15,0.72,1.29,0.74,0.44,0.12,2.22,1.9,1.43,0.9,0.67,0.17,3.38,2.62,2.32,ACC_CMAQ07_CONUS
3917198,0.17,0.2,0.27,0.05,1.34,0.84,1.21,0.73,0.41,0.12,2.21,1.83,1.38,0.93,0.68,0.17,3.55,2.68,2.31,ACC_CMAQ07_CONUS
3917200,0.17,0.2,0.27,0.05,1.32,0.83,1.18,0.73,0.39,0.11,2.11,1.76,1.35,0.93,0.66,0.17,3.43,2.59,2.28,ACC_CMAQ07_CONUS
