COMID,CAT_RF7100,ACC_RF7100,TOT_RF7100,CAT_WB5100_ANN,ACC_WB5100_ANN,TOT_WB5100_ANN,CAT_EWT,ACC_EWT,TOT_EWT,BANKFULL_WIDTH,BANKFULL_DEPTH,BANKFULL_XSEC_AREA,CAT_BFI,ACC_BFI,TOT_BFI,CAT_CONTACT,ACC_CONTACT,TOT_CONTACT,CAT_RECHG,ACC_RECHG,TOT_RECHG,CAT_IEOF,ACC_IEOF,TOT_IEOF,CAT_SATOF,ACC_SATOF,TOT_SATOF,CAT_TWI,ACC_TWI,TOT_TWI,CAT_RUN7100,ACC_RUN7100,TOT_RUN7100
3917070,33,33,33,345,345,345,-67.01,-67.01,-67.01,3.37,0.27,1.21,72,72,72,31,31,31,87.98,87.98,87.98,0,0,0,0,0,0,8.45,8.45,8.45,83.46,83.46,83.46
3917072,33,33,33,345,345,345,-63.29,-63.29,-63.29,1.06,0.11,0.18,72,72,72,31,31,31,89,89,89,0,0,0,0,0,0,9.86,9.86,9.86,83,83,83
3917082,23.5,23.5,23.5,357.03,357.03,357.03,-47.98,-47.98,-47.98,3.23,0.26,1.12,72,72,72,6.13,6.13,6.13,80.15,80.15,80.15,0,0,0,0,0,0,9.35,9.35,9.35,87.38,87.38,87.38
3917084,27.37,27.37,27.37,379.78,379.78,379.78,-70.91,-70.91,-70.91,8.13,0.51,5.09,72,72,72,6.11,6.11,6.11,82.63,82.63,82.63,0,0,0,0,0,0,9.7,9.7,9.7,108.2,108.2,108.2
3917106,25.61,26.48,26.48,240.13,325.13,325.13,-51.85,-62.35,-62.35,10.23,0.6,7.4,72.94,72.36,72.36,15.93,9.87,9.87,84.44,83.18,83.18,0,0,0,0,0,0,9.65,9.66,9.66,85.74,98.46,98.46
3917114,31.2,31.2,31.2,295.34,295.34,295.34,-39.53,-39.53,-39.53,3.63,0.28,1.36,71.81,71.81,71.81,43.11,43.11,43.11,88.53,88.53,88.53,0,0,0,0,0,0,9.72,9.72,9.72,83,83,83
3917130,31.2,27.54,27.54,288.27,313.87,313.87,-46.87,-51.54,-51.54,15.58,0.82,14.71,72.24,72.96,72.96,37.32,46.48,46.48,88.98,86.23,86.23,0,0,0,0,0,0,9.83,9.73,9.73,83,99.55,99.55
3917136,23.08,23.08,23.08,234.59,234.59,234.59,-67.1,-67.1,-67.1,3.48,0.27,1.27,74,74,74,16.62,16.62,16.62,82.53,82.53,82.53,0,0,0,0,0,0,8.37,8.37,8.37,112.26,112.26,112.26
3917138,22.16,22.16,22.16,239,239,239,-34.8,-34.8,-34.8,1.18,0.12,0.22,74,74,74,16,16,16,84.36,84.36,84.36,0,0,0,0,0,0,8.26,8.26,8.26,83,83,83
3917154,32.03,32.21,32.21,330.37,333.14,333.14,-44.57,-48.79,-48.79,6.68,0.44,3.69,71.83,71.86,71.86,34.71,34.01,34.01,88.89,88.73,88.73,0,0,0,0,0,0,9.93,9.66,9.66,83,83.08,83.08
3917156,31.23,31.23,31.23,301.86,301.86,301.86,-49.75,-49.75,-49.75,4.38,0.32,1.85,70.51,70.51,70.51,41.95,41.95,41.95,88.76,88.76,88.76,0.39,0.39,0.39,0,0,0,9.32,9.32,9.32,83,83,83
3917158,23.78,23.78,23.78,153.69,153.69,153.69,-21.66,-21.66,-21.66,3.75,0.29,1.43,70,70,70,83.76,83.76,83.76,87.95,87.95,87.95,1,1,1,0,0,0,9.42,9.42,9.42,83,83,83
3917160,22.64,22.64,22.64,141.68,141.68,141.68,-15.59,-15.59,-15.59,5.39,0.38,2.6,70,70,70,91.89,91.89,91.89,89.02,89.02,89.02,1,1,1,0,0,0,9.82,9.82,9.82,83.04,83.04,83.04
3917162,32.43,28.04,28.04,307.58,312.91,312.91,-60.46,-52.01,-52.01,16.3,0.85,15.84,72.16,72.87,72.87,47.17,46.46,46.46,90.99,86.68,86.68,0,0,0,0,0,0,9.39,9.7,9.7,83,97.78,97.78
3917164,27.04,27.04,27.04,224.17,224.17,224.17,-37.83,-37.83,-37.83,6.71,0.44,3.72,70.07,70.07,70.07,48.08,48.08,48.08,88.23,88.23,88.23,1,1,1,0,0,0,9.58,9.58,9.58,83.78,83.78,83.78
3917172,31.32,31.32,31.32,345.12,345.12,345.12,-57.81,-57.81,-57.81,6.37,0.43,3.41,71.05,71.05,71.05,33.46,33.46,33.46,88.97,88.97,88.97,0.59,0.59,0.59,0,0,0,8.87,8.87,8.87,83.89,83.89,83.89
3917176,32.87,29.43,29.43,435.37,324.56,324.56,-23.83,-50.22,-50.22,18.8,0.95,20.01,71.29,72.41,72.41,33.36,43.61,43.61,89.19,87.45,87.45,0.12,0.06,0.06,0,0,0,10.18,9.66,9.66,83,93.39,93.39
3917178,34.87,29.14,29.14,394.61,318.23,318.23,-33.82,-50.8,-50.8,17.99,0.92,18.61,71.38,72.56,72.56,39.77,44.81,44.81,89.93,87.26,87.26,0.04,0.01,0.01,0,0,0,9.61,9.69,9.69,83,94.55,94.55
3917194,31.15,31.15,31.15,368.55,368.55,368.55,-40.62,-40.62,-40.62,8.98,0.55,5.98,73.33,73.33,73.33,106.13,106.13,106.13,90.14,90.14,90.14,0,0,0,0,0,0,9.7,9.7,9.7,98.48,98.48,98.48
3917198,17.2,28.53,28.53,122,309.91,309.91,-8.77,-44.34,-44.34,20.66,1.01,23.35,70,71.94,71.94,288,53.45,53.45,84,87.49,87.49,1,0.21,0.21,0,0,0,12.01,9.76,9.76,83,91.25,91.25
3917200,17.2,27.85,27.85,122,297.35,297.35,-12,-43.1,-43.1,21.23,1.03,24.39,70,71.82,71.82,288,62.43,62.43,84,87.45,87.45,1,0.26,0.26,0,0,0,11.94,9.8,9.8,83,90.72,90.72
3917230,11.51,11.51,11.51,65.45,65.45,65.45,-4.58,-4.58,-4.58,4.17,0.31,1.71,70.92,70.92,70.92,1176.92,1176.92,1176.92,85.06,85.06,85.06,1,1,1,0,0,0,15.03,15.03,15.03,83,83,83
3917244,11.75,37.05,42.88,72.92,425.71,476.95,-16.21,-22.86,-22.15,42.59,1.73,76.12,70.1,73.71,73.63,788.57,195.96,172.23,81.63,125.92,147.93,0.83,0.3,0.34,0,1.34,1.84,12.74,10.93,10.81,83,91.32,98.95
3917912,33.4,28.71,28.71,299.44,314.02,314.02,-55.14,-51.89,-51.89,17.36,0.89,17.56,71.45,72.7,72.7,44.38,45.21,45.21,89.99,87.05,87.05,0,0,0,0,0,0,9.87,9.71,9.71,83,95.63,95.63
3917914,21.08,21.38,21.38,220.37,222.61,222.61,-50.49,-52.74,-52.74,7.53,0.48,4.48,73.94,73.95,73.95,57.78,51.42,51.42,82.77,82.75,82.75,0,0,0,0,0,0,9.87,9.64,9.64,131.11,127.92,127.92
3917916,27.72,27.42,27.42,315.09,312.25,312.25,-45.93,-45.49,-45.49,12.1,0.68,9.74,73.34,73.52,73.52,30.11,72.6,72.6,88.88,87.61,87.61,0,0,0,0,0,0,10.05,9.76,9.76,83,104.01,104.01
3917918,26.88,29.04,29.04,368.48,322.11,322.11,-16.75,-46.4,-46.4,20.11,0.99,22.32,70.4,72.08,72.08,81.69,47.34,47.34,87,87.46,87.46,0.46,0.15,0.15,0,0,0,10.58,9.74,9.74,83,91.84,91.84
3917920,17.2,21.52,21.52,120.89,139.05,139.05,-10.53,-15.63,-15.63,6.92,0.45,3.91,70,70,70,269.54,134.68,134.68,85.81,87.99,87.99,1,1,1,0,0,0,11.22,10.09,10.09,83,83.02,83.02
3917922,18.09,18.09,18.09,115.6,115.6,115.6,-27.22,-27.22,-27.22,6.84,0.45,3.84,70,70,70,181.72,181.72,181.72,87.16,87.16,87.16,0.99,0.99,0.99,0,0,0,10.38,10.38,10.38,83.02,83.02,83.02
3917946,11.87,36.49,42.37,72.72,417.82,470.37,-12.86,-22.6,-21.98,42.87,1.74,76.93,70.99,73.65,73.59,1241.39,218.96,189.41,82.06,124.95,146.87,0.61,0.31,0.34,0,1.31,1.81,14.39,11.01,10.87,83,91.14,98.69
3917948,16.19,27.63,27.63,118.05,293.97,293.97,-7.38,-42.43,-42.43,21.39,1.04,24.7,70,71.78,71.78,278.84,66.51,66.51,83.28,87.37,87.37,0.49,0.26,0.26,0,0,0,14.28,9.89,9.89,83,90.57,90.57
3917950,13.83,37.51,43.28,82.34,432.02,482.18,-6.82,-22.97,-22.23,42.37,1.72,75.48,70,73.77,73.68,1359.94,185.35,164.27,80.9,126.71,148.79,0.24,0.29,0.33,0,1.36,1.86,13.71,10.9,10.78,83,91.47,99.15
948010089,17.2,18.01,18.01,122,116.17,116.17,-6.14,-25.34,-25.34,7.11,0.46,4.08,70,70,70,288,191.21,191.21,84,86.88,86.88,1,0.99,0.99,0,0,0,10.42,10.38,10.38,83,83.02,83.02
