COMID,DIST_TO_ST,ACC_BASIN_AREA,ACC_STREAM_SLOPE,ACC_BASIN_SLOPE,ACC_ELEV_MEAN,ACC_ELEV_MIN,ACC_ELEV_MAX,ACC_STREAM_LENGTH,CAT_BASIN_AREA,CAT_BASIN_SLOPE,CAT_ELEV_MEAN,CAT_ELEV_MIN,CAT_ELEV_MAX,CAT_STREAM_SLOPE,CAT_STREAM_LENGTH,TOT_BASIN_AREA,TOT_BASIN_SLOPE,TOT_ELEV_MEAN,TOT_ELEV_MIN,TOT_ELEV_MAX,TOT_STREAM_SLOPE,TOT_STREAM_LENGTH,CAT_STREAMRIVER,CAT_ARTIFICIAL,CAT_CANALDITCH,CAT_CONNECTOR,CAT_PIPELINE,ACC_STREAMRIVER,ACC_ARTIFICIAL,ACC_CANALDITCH,ACC_CONNECTOR,ACC_PIPELINE,TOT_STREAMRIVER,TOT_ARTIFICIAL,TOT_CANALDITCH,TOT_CONNECTOR,TOT_PIPELINE,CAT_RDX,ACC_RDX,TOT_RDX,ID,ACC_S1100,ACC_S1200,ACC_S1400,ACC_S1500,ACC_S1630,ACC_S1640,ACC_S1710,ACC_S1720,ACC_S1730,ACC_S1740,ACC_S1750,ACC_S1780,ACC_S1820,ACC_S1830,ACC_TOTAL_ROAD_DENS,CAT_S1100,CAT_S1200,CAT_S1400,CAT_S1500,CAT_S1630,CAT_S1640,CAT_S1710,CAT_S1720,CAT_S1730,CAT_S1740,CAT_S1750,CAT_S1780,CAT_S1820,CAT_S1830,CAT_TOTAL_ROAD_DENS,...1.y,TOT_S1100,TOT_S1200,TOT_S1400,TOT_S1500,TOT_S1630,TOT_S1640,TOT_S1710,TOT_S1720,TOT_S1730,TOT_S1740,TOT_S1750,TOT_S1780,TOT_S1820,TOT_S1830,TOT_TOTAL_ROAD_DENS,CAT_STRM_DENS,ACC_STRM_DENS,TOT_STRM_DENS,SINUOSITY
3917070,691.26,1.65,0.156863,27.33,2060.76,1755.53,2383.05,1.02,1.65,27.33,2060.76,1755.53,2383.05,0.16,1.017,1.65,27.33,2060.76,1755.53,2383.05,0.156863,1.02,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,1,1,1,406321,0,0,2.26,0,0,0,0,0,0,0,0,0,0,0,2.26,0,0,2.26,0,0,0,0,0,0,0,0,0,0,0,2.26,406321,0,0,2.26,0,0,0,0,0,0,0,0,0,0,0,2.26,0.62,0.62,0.62,1.04
3917072,396.44,0.09,0,22.77,1866.02,1772.7,1939.18,0.21,0.09,22.77,1866.02,1772.7,1939.18,0,0.213,0.09,22.77,1866.02,1772.7,1939.18,0,0.21,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,406322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,2.33,2.33,1
3917082,1724.44,1.48,0.052632,17.18,2060.7,1795.61,2369.93,0.19,1.48,17.18,2060.7,1795.61,2369.93,0.01,0.191,1.48,17.18,2060.7,1795.61,2369.93,0.052632,0.19,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,406327,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,2.05,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,2.05,406327,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,2.05,0.13,0.13,0.13,1
3917084,1823.77,15,0.008264,12.38,1975.96,1797.03,2369.24,2.42,15,12.38,1975.96,1797.03,2369.24,0.02,2.416,15,12.38,1975.96,1797.03,2369.24,0.008264,2.42,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,2,2,2,406328,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,2.1,406328,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,2.1,0.16,0.16,0.16,1.18
3917106,1464.53,26.69,0.025408,15.4,1932.9,1476.92,2369.93,5.51,10.2,19.59,1850.99,1476.92,2369.53,0.11,2.904,26.69,15.4,1932.9,1476.92,2369.93,0.025408,5.51,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,1,3,3,406339,0,0,1.87,0,0,0,0,0,0,0,0,0,0,0,1.87,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,1.49,406339,0,0,1.87,0,0,0,0,0,0,0,0,0,0,0,1.87,0.28,0.21,0.21,1.19
3917114,353.03,1.99,0.073394,20.25,1617.72,1342.13,1906.96,2.18,1.99,20.25,1617.72,1342.13,1906.96,0.16,2.184,1.99,20.25,1617.72,1342.13,1906.96,0.073394,2.18,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,1,1,1,406343,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,1.58,406343,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,1.58,1.1,1.1,1.1,1.08
3917130,1464.11,76.5,0.024633,14.87,1835.96,1345.6,2524.2,17.05,9.17,20.13,1652.54,1345.6,2245.53,0.04,2.954,76.5,14.87,1835.96,1345.6,2524.2,0.024633,17.05,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,2,12,12,406351,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,1.3,406351,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,1.9,0.32,0.22,0.22,1.1
3917136,1581,1.79,0.16,17.09,1992.28,1739.26,2222.34,0.5,1.79,17.09,1992.28,1739.26,2222.34,0.08,0.5,1.79,17.09,1992.28,1739.26,2222.34,0.16,0.5,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,1,1,1,406354,0,0,3.07,0,0,0,0,0,0,0,0,0,0,0,3.07,0,0,3.07,0,0,0,0,0,0,0,0,0,0,0,3.07,406354,0,0,3.07,0,0,0,0,0,0,0,0,0,0,0,3.07,0.28,0.28,0.28,1.01
3917138,443.23,0.12,0,20.25,1818.09,1729.72,1962.52,0.19,0.12,20.25,1818.09,1729.72,1962.52,0,0.193,0.12,20.25,1818.09,1729.72,1962.52,0,0.19,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,1,1,1,406355,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,1.1,406355,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,1.1,1.61,1.58,1.58,1.01
3917154,995.59,9.17,0.04584,23.14,1763.96,1266.04,2383.05,5.89,7.43,22.21,1696.75,1266.04,2342.01,0.11,4.663,9.17,23.14,1763.96,1266.04,2383.05,0.04584,5.89,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,1,2,2,406363,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,1.44,406363,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,1.57,0.63,0.64,0.64,1.11
