dn_hydroseq,ds_hydroseq,hydroseq,detail_loc,id_down_up,paths_lst
10019615,10020426,10020426,mainstem,1,"10020426, 10020862, 10135201, 10021351, 10032346, 10033986, 10071307, 10135168, 10035874, 10087752, 10135213, 10135214, 10038060, 10135212, 10040642, 10135210, 10043744, 10135215, 10047601, 10087770, 10135231, 10135232, 10052559, 10135223,  10059365, 10087772, 10135227, 10135228, 10069513, 10087753, 10135218, 10135219, 10135206"
10019615,10020426,10135201,trib,2,10135201
10019615,10020426,10020862,mainstem,3,"10020862, 10135201, 10021351, 10032346, 10033986, 10071307, 10135168, 10035874, 10087752, 10135213, 10135214, 10038060, 10135212, 10040642, 10135210, 10043744, 10135215, 10047601, 10087770, 10135231, 10135232, 10052559, 10135223,  10059365, 10087772, 10135227, 10135228, 10069513, 10087753, 10135218, 10135219, 10135206"
10019615,10020426,10021351,mainstem,4,"10021351, 10032346, 10033986, 10071307, 10135168, 10035874, 10087752, 10135213, 10135214, 10038060, 10135212, 10040642, 10135210, 10043744, 10135215, 10047601, 10087770, 10135231, 10135232, 10052559, 10135223,  10059365, 10087772, 10135227, 10135228, 10069513, 10087753, 10135218, 10135219, 10135206"
10019615,10020426,10032346,mainstem,5,"10032346, 10033986, 10071307, 10135168, 10035874, 10087752, 10135213, 10135214, 10038060, 10135212, 10040642, 10135210, 10043744, 10135215, 10047601, 10087770, 10135231, 10135232, 10052559, 10135223,  10059365, 10087772, 10135227, 10135228, 10069513, 10087753, 10135218, 10135219, 10135206"
10019615,10020426,10033986,mainstem,6,"10033986, 10071307, 10135168, 10035874, 10087752, 10135213, 10135214, 10038060, 10135212, 10040642, 10135210, 10043744, 10135215, 10047601, 10087770, 10135231, 10135232, 10052559, 10135223,  10059365, 10087772, 10135227, 10135228, 10069513, 10087753, 10135218, 10135219, 10135206"
10019615,10020426,10071307,trib,7,"10071307, 10135168"
10019615,10020426,10135168,trib,8,10135168
10019615,10020426,10035874,mainstem,9,"10035874, 10087752, 10135213, 10135214, 10038060, 10135212, 10040642, 10135210, 10043744, 10135215, 10047601, 10087770, 10135231, 10135232, 10052559, 10135223,  10059365, 10087772, 10135227, 10135228, 10069513, 10087753, 10135218, 10135219, 10135206"
10019615,10020426,10087752,trib,10,"10087752, 10135213, 10135214"
10019615,10020426,10135213,trib,11,10135213
10019615,10020426,10135214,trib,12,10135214
10019615,10020426,10038060,mainstem,13,"10038060, 10135212, 10040642, 10135210, 10043744, 10135215, 10047601, 10087770, 10135231, 10135232, 10052559, 10135223,  10059365, 10087772, 10135227, 10135228, 10069513, 10087753, 10135218, 10135219, 10135206"
10019615,10020426,10135212,trib,14,10135212
10019615,10020426,10040642,mainstem,15,"10040642, 10135210, 10043744, 10135215, 10047601, 10087770, 10135231, 10135232, 10052559, 10135223,  10059365, 10087772, 10135227, 10135228, 10069513, 10087753, 10135218, 10135219, 10135206"
10019615,10020426,10135210,trib,16,10135210
10019615,10020426,10043744,mainstem,17,"10043744, 10135215, 10047601, 10087770, 10135231, 10135232, 10052559, 10135223,  10059365, 10087772, 10135227, 10135228, 10069513, 10087753, 10135218, 10135219, 10135206"
10019615,10020426,10135215,trib,18,10135215
10019615,10020426,10047601,mainstem,19,"10047601, 10087770, 10135231, 10135232, 10052559, 10135223,  10059365, 10087772, 10135227, 10135228, 10069513, 10087753, 10135218, 10135219, 10135206"
10019615,10020426,10087770,trib,20,"10087770, 10135231, 10135232"
10019615,10020426,10135231,trib,21,10135231
10019615,10020426,10135232,trib,22,10135232
10019615,10020426,10052559,mainstem,23,"10052559, 10135223,  10059365, 10087772, 10135227, 10135228, 10069513, 10087753, 10135218, 10135219, 10135206"
10019615,10020426,10135223,trib,24,10135223
10019615,10020426,10059365,mainstem,25,"10059365, 10087772, 10135227, 10135228, 10069513, 10087753, 10135218, 10135219, 10135206"
10019615,10020426,10087772,trib,26,"10087772, 10135227, 10135228"
10019615,10020426,10135227,trib,27,10135227
10019615,10020426,10135228,trib,28,10135228
10019615,10020426,10069513,mainstem,29,"10069513, 10087753, 10135218, 10135219, 10135206"
10019615,10020426,10087753,mainstem,30,"10087753, 10135218, 10135219, 10135206"
10019615,10020426,10135218,trib,31,10135218
10019615,10020426,10135219,trib,32,10135219
10019615,10020426,10135206,trib,33,10135206
