COMID,CAT_EVI_JAS_2012,NODATA,ACC_EVI_JAS_2012,ACC_NODATA,TOT_EVI_JAS_2012,TOT_NODATA,source
3917070,0.32,0,0.32,0,0.32,0,EVI_JAS_2012_CONUS
3917072,0.31,0,0.31,0,0.31,0,EVI_JAS_2012_CONUS
3917082,0.29,0,0.29,0,0.29,0,EVI_JAS_2012_CONUS
3917084,0.28,0,0.28,0,0.28,0,EVI_JAS_2012_CONUS
3917106,0.31,0,0.29,0,0.29,0,EVI_JAS_2012_CONUS
3917114,0.3,0,0.3,0,0.3,0,EVI_JAS_2012_CONUS
3917130,0.3,0,0.29,0,0.29,0,EVI_JAS_2012_CONUS
3917136,0.32,0,0.32,0,0.32,0,EVI_JAS_2012_CONUS
3917138,0.31,0,0.31,0,0.31,0,EVI_JAS_2012_CONUS
3917154,0.3,0,0.3,0,0.3,0,EVI_JAS_2012_CONUS
3917156,0.28,0,0.28,0,0.28,0,EVI_JAS_2012_CONUS
3917158,0.11,0,0.11,0,0.11,0,EVI_JAS_2012_CONUS
3917160,0.13,0,0.13,0,0.13,0,EVI_JAS_2012_CONUS
3917162,0.29,0,0.29,0,0.29,0,EVI_JAS_2012_CONUS
3917164,0.2,0,0.2,0,0.2,0,EVI_JAS_2012_CONUS
3917172,0.28,0,0.28,0,0.28,0,EVI_JAS_2012_CONUS
3917176,0.21,0,0.28,0,0.28,0,EVI_JAS_2012_CONUS
3917178,0.23,0,0.29,0,0.29,0,EVI_JAS_2012_CONUS
3917194,0.29,0,0.29,0,0.29,0,EVI_JAS_2012_CONUS
3917198,0.2,0,0.26,0,0.26,0,EVI_JAS_2012_CONUS
3917200,0.18,0,0.25,0,0.25,0,EVI_JAS_2012_CONUS
3917230,0.27,0,0.27,0,0.27,0,EVI_JAS_2012_CONUS
3917244,0.33,0,0.22,0,0.22,0,EVI_JAS_2012_CONUS
3917912,0.27,0,0.29,0,0.29,0,EVI_JAS_2012_CONUS
3917914,0.29,0,0.29,0,0.29,0,EVI_JAS_2012_CONUS
3917916,0.29,0,0.29,0,0.29,0,EVI_JAS_2012_CONUS
3917918,0.18,0,0.27,0,0.27,0,EVI_JAS_2012_CONUS
3917920,0.15,0,0.13,0,0.13,0,EVI_JAS_2012_CONUS
3917922,0.11,0,0.11,0,0.11,0,EVI_JAS_2012_CONUS
3917946,0.17,0,0.22,0,0.22,0,EVI_JAS_2012_CONUS
3917948,0.16,0,0.25,0,0.25,0,EVI_JAS_2012_CONUS
3917950,0.31,0,0.22,0,0.22,0,EVI_JAS_2012_CONUS
948010089,0.14,0,0.11,0,0.11,0,EVI_JAS_2012_CONUS
