COMID,CAT_STREAMRIVER,CAT_ARTIFICIAL,CAT_CANALDITCH,CAT_CONNECTOR,CAT_PIPELINE,ACC_STREAMRIVER,ACC_ARTIFICIAL,ACC_CANALDITCH,ACC_CONNECTOR,ACC_PIPELINE,TOT_STREAMRIVER,TOT_ARTIFICIAL,TOT_CANALDITCH,TOT_CONNECTOR,TOT_PIPELINE,source
3917070,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917072,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917082,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917084,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917106,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917114,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917130,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917136,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917138,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917154,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917156,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917158,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917160,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917162,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917164,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917172,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917176,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917178,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917194,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917198,100,0,0,0,0,99.88,0,0.12,0,0,99.88,0,0.12,0,0,FTYPE_PCT_CONUS
3917200,86.93,0,13.07,0,0,97.29,0,2.71,0,0,97.29,0,2.71,0,0,FTYPE_PCT_CONUS
3917230,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917244,45.99,0,54.01,0,0,77.92,0.99,21.06,0.02,0,80.85,2.7,16.43,0.01,0,FTYPE_PCT_CONUS
3917912,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917914,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917916,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917918,98.46,0,1.54,0,0,99.86,0,0.14,0,0,99.86,0,0.14,0,0,FTYPE_PCT_CONUS
3917920,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917922,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,FTYPE_PCT_CONUS
3917946,68.32,5.89,25.79,0,0,77.81,1.15,21.02,0.02,0,80.68,2.76,16.54,0.01,0,FTYPE_PCT_CONUS
3917948,96.99,0,3.01,0,0,97.27,0,2.73,0,0,97.27,0,2.73,0,0,FTYPE_PCT_CONUS
3917950,97.72,0,2.28,0,0,79.22,1.03,19.73,0.02,0,81.85,2.78,15.36,0.01,0,FTYPE_PCT_CONUS
948010089,0.69,0,99.31,0,0,69.72,0,30.28,0,0,69.72,0,30.28,0,0,FTYPE_PCT_CONUS
