COMID,ACC_HLR_1,ACC_HLR_2,ACC_HLR_3,ACC_HLR_4,ACC_HLR_5,ACC_HLR_6,ACC_HLR_7,ACC_HLR_8,ACC_HLR_9,ACC_HLR_10,ACC_HLR_11,ACC_HLR_12,ACC_HLR_13,ACC_HLR_14,ACC_HLR_15,ACC_HLR_16,ACC_HLR_17,ACC_HLR_18,ACC_HLR_19,ACC_HLR_20,ACC_NODATA,source
3917070,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.27,0,96.73,0,0,0,0,HLR_ACC_CONUS
3917072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,HLR_ACC_CONUS
3917082,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,99.58,0,0,0,0,0,0,HLR_ACC_CONUS
3917084,0,0,0,0,0,0,0,0,0,0,0,3.76,0,1.73,94.33,0,0.18,0,0,0,0,HLR_ACC_CONUS
3917106,0,0,0,0,0,0,0,0,0,0,0,2.11,0,1.37,96.13,0,0.39,0,0,0,0,HLR_ACC_CONUS
3917114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,0,98.46,0,0,0,0,HLR_ACC_CONUS
3917130,0,0,0,0,0,0,0,0,0,0,0,0.93,0,1.31,84.54,0,13.23,0,0,0,-0,HLR_ACC_CONUS
3917136,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,95.53,0,0,0,0,0,0,HLR_ACC_CONUS
3917138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,HLR_ACC_CONUS
3917154,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,1.16,0,98.29,0,0,0,0,HLR_ACC_CONUS
3917156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,HLR_ACC_CONUS
3917158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,HLR_ACC_CONUS
3917160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,HLR_ACC_CONUS
3917162,0,0,0,0,0,0,0,0,0,0,0,0.83,0,1.17,75.53,0,22.48,0,0,0,0,HLR_ACC_CONUS
3917164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,HLR_ACC_CONUS
3917172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,HLR_ACC_CONUS
3917176,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0.82,52.87,0,45.69,0,0,0,-0,HLR_ACC_CONUS
3917178,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0.91,59.09,0,39.31,0,0,0,0,HLR_ACC_CONUS
3917194,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,99.25,0,0,0,0,0,0,HLR_ACC_CONUS
3917198,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0.64,41.74,0,57.13,0,0,0,0,HLR_ACC_CONUS
3917200,0,0,0,0,0,0,0,0,0,0,0,0.46,5.66,0.6,39.03,0,54.25,0,0,0,0,HLR_ACC_CONUS
3917230,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,HLR_ACC_CONUS
3917244,0,0,0,0,3.09,0,0,0,0,5.64,0,17.76,1.92,4.86,22.98,10.2,27.25,2.92,0.98,2.03,0.36,HLR_ACC_CONUS
3917912,0,0,0,0,0,0,0,0,0,0,0,0.76,0,1,64.61,0,33.64,0,0,0,0,HLR_ACC_CONUS
3917914,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12,94.88,0,0,0,0,0,0,HLR_ACC_CONUS
3917916,0,0,0,0,0,0,0,0,0,0,0,0.36,0,1.56,95.33,0,2.76,0,0,0,0,HLR_ACC_CONUS
3917918,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0.69,44.71,0,54.08,0,0,0,-0,HLR_ACC_CONUS
3917920,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,99.94,0,0,0,0,HLR_ACC_CONUS
3917922,0,0,0,0,0,0,0,0,0,0,0,0,95.92,0,0,0,4.08,0,0,0,0,HLR_ACC_CONUS
3917946,0,0,0,0,3.02,0,0,0,0,7.69,0,17.37,1.88,4.75,22.52,9.98,26.64,2.85,0.96,1.99,0.35,HLR_ACC_CONUS
3917948,0,0,0,0,0.26,0,0,0,0,0.53,0,0.45,5.59,0.59,38.29,0,54.28,0,0,0,-0,HLR_ACC_CONUS
3917950,0,0,0,0,3.06,0,0,0,0,4.1,0,18.08,1.91,4.94,23.39,10.39,27.74,2.97,1,2.07,0.36,HLR_ACC_CONUS
948010089,0,0,0,0,0,0,0,0,0,0,0,0,87.87,0,0,0,12.13,0,0,0,0,HLR_ACC_CONUS
