COMID,CAT_POPDENS00,NODATA,ACC_POPDENS00,ACC_NODATA,TOT_POPDENS00,TOT_NODATA,source
3917070,0,0,0,0,0,0,POPDENS00_CONUS
3917072,0,0,0,0,0,0,POPDENS00_CONUS
3917082,0,0,0,0,0,0,POPDENS00_CONUS
3917084,0,0,0,0,0,0,POPDENS00_CONUS
3917106,0,0,0,0,0,0,POPDENS00_CONUS
3917114,0,0,0,0,0,0,POPDENS00_CONUS
3917130,0,0,0,0,0,0,POPDENS00_CONUS
3917136,0,0,0,0,0,0,POPDENS00_CONUS
3917138,0,0,0,0,0,0,POPDENS00_CONUS
3917154,0,0,0,0,0,0,POPDENS00_CONUS
3917156,0,0,0,0,0,0,POPDENS00_CONUS
3917158,0,0,0,0,0,0,POPDENS00_CONUS
3917160,0,0,0,0,0,0,POPDENS00_CONUS
3917162,0,0,0,0,0,0,POPDENS00_CONUS
3917164,0,0,0,0,0,0,POPDENS00_CONUS
3917172,0,0,0,0,0,0,POPDENS00_CONUS
3917176,0,0,0,0,0,0,POPDENS00_CONUS
3917178,0,0,0,0,0,0,POPDENS00_CONUS
3917194,0,0,0,0,0,0,POPDENS00_CONUS
3917198,0,0,0,0,0,0,POPDENS00_CONUS
3917200,0,0,0,0,0,0,POPDENS00_CONUS
3917230,2.02,0,2.02,0,2.02,0,POPDENS00_CONUS
3917244,1.23,0,2.63,0,6.28,0,POPDENS00_CONUS
3917912,0,0,0,0,0,0,POPDENS00_CONUS
3917914,0,0,0,0,0,0,POPDENS00_CONUS
3917916,0,0,0,0,0,0,POPDENS00_CONUS
3917918,0,0,0,0,0,0,POPDENS00_CONUS
3917920,0,0,0,0,0,0,POPDENS00_CONUS
3917922,0,0,0,0,0,0,POPDENS00_CONUS
3917946,2.6,0,2.63,0,6.22,0,POPDENS00_CONUS
3917948,2.49,0,0.05,0,0.05,0,POPDENS00_CONUS
3917950,0.87,0,2.66,0,6.34,0,POPDENS00_CONUS
948010089,0,0,0,0,0,0,POPDENS00_CONUS
