COMID,CAT_RDX,ACC_RDX,TOT_RDX,source
3917070,1,1,1,RDX_CONUS
3917072,0,0,0,RDX_CONUS
3917082,0,0,0,RDX_CONUS
3917084,2,2,2,RDX_CONUS
3917106,1,3,3,RDX_CONUS
3917114,1,1,1,RDX_CONUS
3917130,2,12,12,RDX_CONUS
3917136,1,1,1,RDX_CONUS
3917138,1,1,1,RDX_CONUS
3917154,1,2,2,RDX_CONUS
3917156,0,0,0,RDX_CONUS
3917158,0,0,0,RDX_CONUS
3917160,0,0,0,RDX_CONUS
3917162,0,13,13,RDX_CONUS
3917164,3,3,3,RDX_CONUS
3917172,3,3,3,RDX_CONUS
3917176,0,21,21,RDX_CONUS
3917178,1,18,18,RDX_CONUS
3917194,2,2,2,RDX_CONUS
3917198,0,28,28,RDX_CONUS
3917200,0,31,31,RDX_CONUS
3917230,1,1,1,RDX_CONUS
3917244,1,101,154,RDX_CONUS
3917912,2,17,17,RDX_CONUS
3917914,2,4,4,RDX_CONUS
3917916,1,7,7,RDX_CONUS
3917918,2,26,26,RDX_CONUS
3917920,2,2,2,RDX_CONUS
3917922,1,1,1,RDX_CONUS
3917946,3,105,158,RDX_CONUS
3917948,1,32,32,RDX_CONUS
3917950,1,100,153,RDX_CONUS
948010089,2,3,3,RDX_CONUS
