COMID,CAT_RUN1986_ANN,ACC_RUN1986_ANN,TOT_RUN1986_ANN,source
3917070,529.2,529.2,529.2,RUN1986_ANN_CONUS
3917072,507.84,507.84,507.84,RUN1986_ANN_CONUS
3917082,503.28,503.28,503.28,RUN1986_ANN_CONUS
3917084,552.12,552.12,552.12,RUN1986_ANN_CONUS
3917106,464.04,515.76,515.76,RUN1986_ANN_CONUS
3917114,465.96,465.96,465.96,RUN1986_ANN_CONUS
3917130,421.92,470.04,470.04,RUN1986_ANN_CONUS
3917136,414.36,414.36,414.36,RUN1986_ANN_CONUS
3917138,355.56,355.56,355.56,RUN1986_ANN_CONUS
3917154,493.32,499.92,499.92,RUN1986_ANN_CONUS
3917156,401.04,401.04,401.04,RUN1986_ANN_CONUS
3917158,117.84,117.84,117.84,RUN1986_ANN_CONUS
3917160,162.48,162.48,162.48,RUN1986_ANN_CONUS
3917162,369.72,461.52,461.52,RUN1986_ANN_CONUS
3917164,291.12,291.12,291.12,RUN1986_ANN_CONUS
3917172,387.6,387.6,387.6,RUN1986_ANN_CONUS
3917176,375,446.16,446.16,RUN1986_ANN_CONUS
3917178,376.8,453.6,453.6,RUN1986_ANN_CONUS
3917194,524.76,524.76,524.76,RUN1986_ANN_CONUS
3917198,108.48,398.52,398.52,RUN1986_ANN_CONUS
3917200,82.44,378.72,378.72,RUN1986_ANN_CONUS
3917230,35.16,35.16,35.16,RUN1986_ANN_CONUS
3917244,49.32,444.24,485.16,RUN1986_ANN_CONUS
3917912,370.32,460.08,460.08,RUN1986_ANN_CONUS
3917914,363.96,371.16,371.16,RUN1986_ANN_CONUS
3917916,402.24,450.84,450.84,RUN1986_ANN_CONUS
3917918,231.84,416.88,416.88,RUN1986_ANN_CONUS
3917920,116.04,141.24,141.24,RUN1986_ANN_CONUS
3917922,93.6,93.6,93.6,RUN1986_ANN_CONUS
3917946,53.28,435.36,478.08,RUN1986_ANN_CONUS
3917948,72.48,372.84,372.84,RUN1986_ANN_CONUS
3917950,59.76,451.32,490.8,RUN1986_ANN_CONUS
948010089,88.8,93.12,93.12,RUN1986_ANN_CONUS
