COMID,CAT_AET,NODATA,ACC_AET,ACC_NODATA,TOT_AET,TOT_NODATA,source
3917070,322,0,322,0,322,0,SENAY_AET_CONUS
3917072,318.45,0,318.45,0,318.45,0,SENAY_AET_CONUS
3917082,414.37,0,414.37,0,414.37,0,SENAY_AET_CONUS
3917084,451.14,0,451.14,0,451.14,0,SENAY_AET_CONUS
3917106,410.92,0,433.72,0,433.72,0,SENAY_AET_CONUS
3917114,434.88,0,434.88,0,434.88,0,SENAY_AET_CONUS
3917130,496.86,0,431.62,0,431.62,0,SENAY_AET_CONUS
3917136,385.17,0,385.17,0,385.17,0,SENAY_AET_CONUS
3917138,401.55,0,401.55,0,401.55,0,SENAY_AET_CONUS
3917154,370.67,0,361.41,0,361.41,0,SENAY_AET_CONUS
3917156,252.17,0,252.17,0,252.17,0,SENAY_AET_CONUS
3917158,6.5,0,6.5,0,6.5,0,SENAY_AET_CONUS
3917160,7.3,0,7.3,0,7.3,0,SENAY_AET_CONUS
3917162,462.14,0,434.26,0,434.26,0,SENAY_AET_CONUS
3917164,41.4,0,41.4,0,41.4,0,SENAY_AET_CONUS
3917172,211.07,0,211.07,0,211.07,0,SENAY_AET_CONUS
3917176,260.18,0,395.86,0,395.86,0,SENAY_AET_CONUS
3917178,325.96,0,415.45,0,415.45,0,SENAY_AET_CONUS
3917194,412.61,0,412.61,0,412.61,0,SENAY_AET_CONUS
3917198,7.69,0,324.4,0,324.4,0,SENAY_AET_CONUS
3917200,14.93,0,303.84,0,303.84,0,SENAY_AET_CONUS
3917230,117.45,0,117.45,0,117.45,0,SENAY_AET_CONUS
3917244,200.91,0,188.89,0,231.13,0,SENAY_AET_CONUS
3917912,407.92,0,426.17,0,426.17,0,SENAY_AET_CONUS
3917914,377.14,0,378.54,0,378.54,0,SENAY_AET_CONUS
3917916,472.43,0,415.51,0,415.51,0,SENAY_AET_CONUS
3917918,106.45,0,347,0,347,0,SENAY_AET_CONUS
3917920,6.14,0,6.84,0,6.84,0,SENAY_AET_CONUS
3917922,7.02,0,7.02,0,7.02,0,SENAY_AET_CONUS
3917946,157,0,188.02,0,229.81,0,SENAY_AET_CONUS
3917948,169.98,0,301.32,0,301.32,0,SENAY_AET_CONUS
3917950,224.3,0,188.68,0,231.52,0,SENAY_AET_CONUS
948010089,10.71,0,7.35,0,7.35,0,SENAY_AET_CONUS
