COMID,CAT_SOILS_A_P,NODATA,ACC_SOILS_A_P,ACC_NODATA,TOT_SOILS_A_P,TOT_NODATA,source
3917070,969.44,0,969.44,0,969.44,0,SOILS_A_P_CONUS
3917072,960.35,0,960.35,0,960.35,0,SOILS_A_P_CONUS
3917082,989.69,0,989.69,0,989.69,0,SOILS_A_P_CONUS
3917084,996.21,0,996.21,0,996.21,0,SOILS_A_P_CONUS
3917106,975.76,0,988.03,0,988.03,0,SOILS_A_P_CONUS
3917114,970.32,0,970.32,0,970.32,0,SOILS_A_P_CONUS
3917130,960.61,0,960.54,0,960.54,0,SOILS_A_P_CONUS
3917136,967.1,0,967.1,0,967.1,0,SOILS_A_P_CONUS
3917138,961.03,0,961.03,0,961.03,0,SOILS_A_P_CONUS
3917154,963.46,0,964.5,0,964.5,0,SOILS_A_P_CONUS
3917156,944.31,0,944.31,0,944.31,0,SOILS_A_P_CONUS
3917158,909.23,0,909.23,0,909.23,0,SOILS_A_P_CONUS
3917160,913.01,0,913.01,0,913.01,0,SOILS_A_P_CONUS
3917162,947.35,0,959.66,0,959.66,0,SOILS_A_P_CONUS
3917164,927.37,0,927.37,0,927.37,0,SOILS_A_P_CONUS
3917172,945.28,0,945.28,0,945.28,0,SOILS_A_P_CONUS
3917176,923.15,0,954.98,0,954.98,0,SOILS_A_P_CONUS
3917178,930.89,0,957.08,0,957.08,0,SOILS_A_P_CONUS
3917194,933.6,0,933.6,0,933.6,0,SOILS_A_P_CONUS
3917198,884.3,0,946.35,0,946.35,0,SOILS_A_P_CONUS
3917200,883.37,0,942.61,0,942.61,0,SOILS_A_P_CONUS
3917230,822.85,0,822.85,0,822.85,0,SOILS_A_P_CONUS
3917244,834.55,0,854.61,0,812.65,0,SOILS_A_P_CONUS
3917912,941.43,0,959.11,0,959.11,0,SOILS_A_P_CONUS
3917914,946.88,0,949.95,0,949.95,0,SOILS_A_P_CONUS
3917916,951.16,0,942.47,0,942.47,0,SOILS_A_P_CONUS
3917918,910.65,0,949.2,0,949.2,0,SOILS_A_P_CONUS
3917920,892.08,0,906.95,0,906.95,0,SOILS_A_P_CONUS
3917922,889.58,0,889.58,0,889.58,0,SOILS_A_P_CONUS
3917946,807.58,0,853.63,0,812.61,0,SOILS_A_P_CONUS
3917948,874.48,0,941.33,0,941.33,0,SOILS_A_P_CONUS
3917950,851.28,0,854.97,0,812.37,0,SOILS_A_P_CONUS
948010089,880.44,0,888.77,0,888.77,0,SOILS_A_P_CONUS
