COMID,CAT_SOILS_GMU_A_P,NODATA,ACC_SOILS_GMU_A_P,ACC_NODATA,TOT_SOILS_GMU_A_P,TOT_NODATA,source
3917070,1067.54,0,1067.54,0,1067.54,0,SOILS_GMU_A_P_CONUS
3917072,997.17,0,997.17,0,997.17,0,SOILS_GMU_A_P_CONUS
3917082,1079.06,0,1079.06,0,1079.06,0,SOILS_GMU_A_P_CONUS
3917084,1084.76,0,1084.76,0,1084.76,0,SOILS_GMU_A_P_CONUS
3917106,1040.07,0,1067.36,0,1067.36,0,SOILS_GMU_A_P_CONUS
3917114,1000.19,0,1000.19,0,1000.19,0,SOILS_GMU_A_P_CONUS
3917130,962.68,0,1009.19,0,1009.19,0,SOILS_GMU_A_P_CONUS
3917136,1064.53,0,1064.53,0,1064.53,0,SOILS_GMU_A_P_CONUS
3917138,1004.78,0,1004.78,0,1004.78,0,SOILS_GMU_A_P_CONUS
3917154,1008.22,0,1018.81,0,1018.81,0,SOILS_GMU_A_P_CONUS
3917156,1045.64,0,1045.64,0,1045.64,0,SOILS_GMU_A_P_CONUS
3917158,1056.54,0,1056.54,0,1056.54,0,SOILS_GMU_A_P_CONUS
3917160,1056.54,0,1056.54,0,1056.54,0,SOILS_GMU_A_P_CONUS
3917162,893.64,0,999.26,0,999.26,0,SOILS_GMU_A_P_CONUS
3917164,1096.72,0,1096.72,0,1096.72,0,SOILS_GMU_A_P_CONUS
3917172,1151.61,0,1151.61,0,1151.61,0,SOILS_GMU_A_P_CONUS
3917176,908.62,0,1001.26,0,1001.26,0,SOILS_GMU_A_P_CONUS
3917178,918.44,0,994.13,0,994.13,0,SOILS_GMU_A_P_CONUS
3917194,966.01,0,966.01,0,966.01,0,SOILS_GMU_A_P_CONUS
3917198,827.39,0,1005.89,0,1005.89,0,SOILS_GMU_A_P_CONUS
3917200,787.91,0,1008.07,0,1008.07,0,SOILS_GMU_A_P_CONUS
3917230,787.91,0,787.91,0,787.91,0,SOILS_GMU_A_P_CONUS
3917244,787.91,0,891.29,0,867.58,0,SOILS_GMU_A_P_CONUS
3917912,928.26,0,997.18,0,997.18,0,SOILS_GMU_A_P_CONUS
3917914,1014.17,0,1021.37,0,1021.37,0,SOILS_GMU_A_P_CONUS
3917916,959.73,0,981.48,0,981.48,0,SOILS_GMU_A_P_CONUS
3917918,954.7,0,1003.16,0,1003.16,0,SOILS_GMU_A_P_CONUS
3917920,1034.27,0,1050.96,0,1050.96,0,SOILS_GMU_A_P_CONUS
3917922,1051.03,0,1051.03,0,1051.03,0,SOILS_GMU_A_P_CONUS
3917946,787.91,0,888.99,0,866.29,0,SOILS_GMU_A_P_CONUS
3917948,787.91,0,1003.92,0,1003.92,0,SOILS_GMU_A_P_CONUS
3917950,787.91,0,893.14,0,868.61,0,SOILS_GMU_A_P_CONUS
948010089,942.96,0,1041.37,0,1041.37,0,SOILS_GMU_A_P_CONUS
