COMID,ACC_SRL25AG,ACC_SRL35AG,ACC_SRL45AG,ACC_SRL55AG,ACC_NODATA,source
3917070,59.86,59.86,59.86,59.86,100,SSURGO_SRL_ACC_CONUS
3917072,59.86,59.86,59.86,59.86,100,SSURGO_SRL_ACC_CONUS
3917082,59.86,59.86,59.86,59.86,100,SSURGO_SRL_ACC_CONUS
3917084,59.86,59.86,59.86,59.86,100,SSURGO_SRL_ACC_CONUS
3917106,59.86,59.86,59.86,59.86,100,SSURGO_SRL_ACC_CONUS
3917114,59.86,59.86,59.86,59.86,100,SSURGO_SRL_ACC_CONUS
3917130,59.86,59.86,59.86,59.86,100,SSURGO_SRL_ACC_CONUS
3917136,59.86,59.86,59.86,59.86,100,SSURGO_SRL_ACC_CONUS
3917138,59.86,59.86,59.86,59.86,100,SSURGO_SRL_ACC_CONUS
3917154,59.86,59.86,59.86,59.86,100,SSURGO_SRL_ACC_CONUS
3917156,59.86,59.86,59.86,59.86,100,SSURGO_SRL_ACC_CONUS
3917158,100,100,100,100,97.7,SSURGO_SRL_ACC_CONUS
3917160,50.29,50.29,50.29,50.29,100,SSURGO_SRL_ACC_CONUS
3917162,59.86,59.86,59.86,59.86,100,SSURGO_SRL_ACC_CONUS
3917164,59.86,59.86,59.86,59.86,100,SSURGO_SRL_ACC_CONUS
3917172,59.86,59.86,59.86,59.86,100,SSURGO_SRL_ACC_CONUS
3917176,59.86,59.86,59.86,59.86,100,SSURGO_SRL_ACC_CONUS
3917178,59.86,59.86,59.86,59.86,100,SSURGO_SRL_ACC_CONUS
3917194,59.86,59.86,59.86,59.86,100,SSURGO_SRL_ACC_CONUS
3917198,56.76,56.76,56.76,56.76,46.04,SSURGO_SRL_ACC_CONUS
3917200,64.01,64.01,64.01,64.01,42.93,SSURGO_SRL_ACC_CONUS
3917230,78.83,79.27,79.27,79.27,0,SSURGO_SRL_ACC_CONUS
3917244,23.3,24.63,24.63,24.63,37.22,SSURGO_SRL_ACC_CONUS
3917912,59.86,59.86,59.86,59.86,100,SSURGO_SRL_ACC_CONUS
3917914,59.86,59.86,59.86,59.86,100,SSURGO_SRL_ACC_CONUS
3917916,59.86,59.86,59.86,59.86,100,SSURGO_SRL_ACC_CONUS
3917918,59.86,59.86,59.86,59.86,79.67,SSURGO_SRL_ACC_CONUS
3917920,51.37,51.37,51.37,51.37,13,SSURGO_SRL_ACC_CONUS
3917922,65.99,65.99,65.99,65.99,48.5,SSURGO_SRL_ACC_CONUS
3917946,28.4,29.65,29.65,29.65,33.4,SSURGO_SRL_ACC_CONUS
3917948,56.86,56.86,56.86,56.86,33.93,SSURGO_SRL_ACC_CONUS
3917950,20.61,22.07,22.07,22.07,40.77,SSURGO_SRL_ACC_CONUS
948010089,70.4,70.4,70.4,70.4,40.74,SSURGO_SRL_ACC_CONUS
