COMID,CAT_TAV2010_ANN,ACC_TAV2010_ANN,TOT_TAV2010_ANN,source
3917070,6.82,6.82,6.82,TAV2010_ANN_CONUS
3917072,6.96,6.96,6.96,TAV2010_ANN_CONUS
3917082,5.8,5.8,5.8,TAV2010_ANN_CONUS
3917084,6.31,6.31,6.31,TAV2010_ANN_CONUS
3917106,6.27,6.27,6.27,TAV2010_ANN_CONUS
3917114,7.52,7.52,7.52,TAV2010_ANN_CONUS
3917130,7.53,7.06,7.06,TAV2010_ANN_CONUS
3917136,6.78,6.78,6.78,TAV2010_ANN_CONUS
3917138,7.81,7.81,7.81,TAV2010_ANN_CONUS
3917154,7.17,7.1,7.1,TAV2010_ANN_CONUS
3917156,7.96,7.96,7.96,TAV2010_ANN_CONUS
3917158,10.52,10.52,10.52,TAV2010_ANN_CONUS
3917160,10.27,10.27,10.27,TAV2010_ANN_CONUS
3917162,7.99,7.15,7.15,TAV2010_ANN_CONUS
3917164,9.5,9.5,9.5,TAV2010_ANN_CONUS
3917172,8.36,8.36,8.36,TAV2010_ANN_CONUS
3917176,8.81,7.42,7.42,TAV2010_ANN_CONUS
3917178,8.37,7.29,7.29,TAV2010_ANN_CONUS
3917194,7.28,7.28,7.28,TAV2010_ANN_CONUS
3917198,10.62,7.95,7.95,TAV2010_ANN_CONUS
3917200,10.79,8.12,8.12,TAV2010_ANN_CONUS
3917230,11.05,11.05,11.05,TAV2010_ANN_CONUS
3917244,11.04,8.9,8.84,TAV2010_ANN_CONUS
3917912,8.18,7.2,7.2,TAV2010_ANN_CONUS
3917914,7.9,7.73,7.73,TAV2010_ANN_CONUS
3917916,7.57,7.48,7.48,TAV2010_ANN_CONUS
3917918,9.8,7.77,7.77,TAV2010_ANN_CONUS
3917920,10.53,10.39,10.39,TAV2010_ANN_CONUS
3917922,10.71,10.71,10.71,TAV2010_ANN_CONUS
3917946,11.11,8.95,8.88,TAV2010_ANN_CONUS
3917948,10.84,8.17,8.17,TAV2010_ANN_CONUS
3917950,10.96,8.86,8.81,TAV2010_ANN_CONUS
948010089,10.75,10.71,10.71,TAV2010_ANN_CONUS
