COMID,CAT_WBM_DT_AET_2012,CAT_WBM_DT_PET_2012,CAT_WBM_DT_PPT_2012,CAT_WBM_DT_RUN_2012,CAT_WBM_DT_SNW_2012,CAT_WBM_DT_STO_2012,CAT_WBM_DT_TAV_2012,NODATA,source
3917070,379.55,545.6,645.34,285.89,267.55,61.87,7.84,0,WBM_DT_2012_CAT_CONUS
3917072,378.81,550.6,636.53,276.81,257.85,60.62,7.97,0,WBM_DT_2012_CAT_CONUS
3917082,366.71,506.48,697.3,260.31,273.02,58.27,6.79,0,WBM_DT_2012_CAT_CONUS
3917084,347.9,526.55,655.49,297.52,273.68,45.11,7.34,0,WBM_DT_2012_CAT_CONUS
3917106,363.38,525.54,664.02,239.83,252.4,56.13,7.3,0,WBM_DT_2012_CAT_CONUS
3917114,359.96,574.31,582.8,234.04,213.34,54.06,8.58,0,WBM_DT_2012_CAT_CONUS
3917130,360.41,573.39,570.79,224.32,220.25,54.51,8.58,0,WBM_DT_2012_CAT_CONUS
3917136,346.57,548.92,630.31,204.61,215.36,46.33,7.9,0,WBM_DT_2012_CAT_CONUS
3917138,321.89,593,557.11,171.03,165.99,31.01,9.06,0,WBM_DT_2012_CAT_CONUS
3917154,370.96,559.5,615.85,261.09,241.04,57.77,8.2,0,WBM_DT_2012_CAT_CONUS
3917156,384.66,591.42,571.02,188.61,188.51,68.97,9,0,WBM_DT_2012_CAT_CONUS
3917158,392.91,672.01,471.25,88.72,105.01,64.18,10.91,0,WBM_DT_2012_CAT_CONUS
3917160,393.98,663.37,494.99,107.9,114.04,67.51,10.76,0,WBM_DT_2012_CAT_CONUS
3917162,377.96,592.53,547.73,170.7,185.07,70.23,9.06,0,WBM_DT_2012_CAT_CONUS
3917164,395.66,641.72,520.22,126.95,141.18,72.43,10.24,0,WBM_DT_2012_CAT_CONUS
3917172,387.77,601.32,570.8,192.18,192.31,67.56,9.23,0,WBM_DT_2012_CAT_CONUS
3917176,401.9,612.29,531.91,121.57,159.94,95.11,9.54,0,WBM_DT_2012_CAT_CONUS
3917178,395.32,604.19,543.43,138.27,163.79,89.95,9.32,0,WBM_DT_2012_CAT_CONUS
3917194,365.26,558.23,564.49,178.16,207.6,73.25,8.18,0,WBM_DT_2012_CAT_CONUS
3917198,384.36,670.32,446.32,73.68,96.55,60.43,10.88,0,WBM_DT_2012_CAT_CONUS
3917200,361.76,673.87,398.37,50.46,81.98,52.38,10.96,0,WBM_DT_2012_CAT_CONUS
3917230,291.53,690.89,326.44,22.82,62.45,39.19,11.22,0,WBM_DT_2012_CAT_CONUS
3917244,299.25,690.13,335.33,23.63,63.73,40.84,11.24,0,WBM_DT_2012_CAT_CONUS
3917912,385.52,600.9,552.64,163.75,169.06,72.03,9.24,0,WBM_DT_2012_CAT_CONUS
3917914,324.37,592.64,549.24,159.33,157,30.79,9.05,0,WBM_DT_2012_CAT_CONUS
3917916,350.87,579,567.38,185.06,195.61,56.62,8.72,0,WBM_DT_2012_CAT_CONUS
3917918,394.82,647.32,498.47,105.87,129.09,76.31,10.35,0,WBM_DT_2012_CAT_CONUS
3917920,392.05,671.58,468.18,86.62,103.87,63.8,10.91,0,WBM_DT_2012_CAT_CONUS
3917922,381.17,667.35,430.02,60.08,89.87,59.1,10.84,0,WBM_DT_2012_CAT_CONUS
3917946,300.97,700.73,345.59,28.93,66.41,42.68,11.4,0,WBM_DT_2012_CAT_CONUS
3917948,356.34,674.44,386.22,44.03,78.06,50.64,10.98,0,WBM_DT_2012_CAT_CONUS
3917950,320.54,682.73,358.05,31.98,69.69,45.19,11.13,0,WBM_DT_2012_CAT_CONUS
948010089,377.96,666.23,421.28,55.67,86.95,57.88,10.83,0,WBM_DT_2012_CAT_CONUS
