COMID,TOT_WDJAN,TOT_WDFEB,TOT_WDMAR,TOT_WDAPR,TOT_WDMAY,TOT_WDJUN,TOT_WDJUL,TOT_WDAUG,TOT_WDSEP,TOT_WDOCT,TOT_WDNOV,TOT_WDDEC,TOT_NODATA,source
3917070,11,9,10.75,7.75,6,5,2,3,4,7,11.75,12.75,0,WD6190_TOT_CONUS
3917072,11,9,10,7,6,5,2,3,4,7,11,12,0,WD6190_TOT_CONUS
3917082,9.65,8.65,9.65,6.79,6,5,2,3,3.75,5.86,10.81,10.85,0,WD6190_TOT_CONUS
3917084,10.18,8.92,9.95,6.99,6,5,2,3,3.95,6.01,11.53,11.67,0,WD6190_TOT_CONUS
3917106,9.79,8.65,9.66,6.73,6,5,2,3,3.58,5.96,11.02,11.23,0,WD6190_TOT_CONUS
3917114,10.19,9,10,7,6,5,2,3,3.26,6.19,11.07,12,0,WD6190_TOT_CONUS
3917130,9.22,8.14,9.18,6.57,6.09,5,2,3,3.24,5.75,10.31,10.63,0,WD6190_TOT_CONUS
3917136,8.15,7.15,8.15,6,6,5,2,3,3,5.15,9.5,9.6,0,WD6190_TOT_CONUS
3917138,8,7,8,6,6,5,2,3,3,5,9,9,0,WD6190_TOT_CONUS
3917154,10.72,9,10.3,7.3,6.11,5,2,3,3.72,6.72,11.2,12.2,0,WD6190_TOT_CONUS
3917156,9.99,8.99,10.37,7.37,6.37,5,2,3,3,6,10.99,11.99,0,WD6190_TOT_CONUS
3917158,9,8.35,9.35,7,6,4.99,2,3,3,6,10,10.99,0,WD6190_TOT_CONUS
3917160,9,8.29,9.29,7,6,5,2,3,3,6,10.11,11,0,WD6190_TOT_CONUS
3917162,9.31,8.22,9.27,6.62,6.09,5,2,3,3.22,5.78,10.38,10.72,0,WD6190_TOT_CONUS
3917164,9.05,8.84,9.95,7.48,6.05,5,2,3,3,6,10.5,10.91,0,WD6190_TOT_CONUS
3917172,9.86,8.86,10.56,7.74,6.4,5,2,3,3.17,6.29,11.03,11.74,0,WD6190_TOT_CONUS
3917176,9.53,8.36,9.56,6.82,6.12,5,2,3,3.22,5.92,10.5,11.01,0,WD6190_TOT_CONUS
3917178,9.51,8.33,9.48,6.75,6.1,5,2,3,3.23,5.89,10.47,10.96,0,WD6190_TOT_CONUS
3917194,9.03,7.91,9.05,6.82,6.21,5,2,3,3.13,5.82,10.03,10.33,0,WD6190_TOT_CONUS
3917198,9.45,8.36,9.55,6.89,6.1,4.97,2,3,3.17,5.94,10.42,10.94,0,WD6190_TOT_CONUS
3917200,9.42,8.31,9.49,6.87,6.09,4.97,2,3,3.16,5.94,10.33,10.88,0,WD6190_TOT_CONUS
3917230,8,6,7,6,5,4,2,2,3,5.03,8,9,0,WD6190_TOT_CONUS
3917244,9.24,8.39,9.48,7.09,5.92,4.33,2,2.62,2.81,5.58,10.09,10.48,0,WD6190_TOT_CONUS
3917912,9.48,8.31,9.42,6.71,6.1,5,2,3,3.25,5.88,10.46,10.9,0,WD6190_TOT_CONUS
3917914,8.04,7.04,8.04,5.77,6,5,2,3,3,5.04,9.1,9.4,0,WD6190_TOT_CONUS
3917916,8.71,7.65,8.72,6.4,6.15,5,2,3,3.06,5.56,9.73,10.04,0,WD6190_TOT_CONUS
3917918,9.48,8.37,9.58,6.88,6.1,4.98,2,3,3.18,5.93,10.46,10.95,0,WD6190_TOT_CONUS
3917920,9,8.23,9.23,7,6,4.86,2,3,3,6,9.98,10.78,0,WD6190_TOT_CONUS
3917922,8.97,7.51,8.51,6.51,5.97,4.97,2,2.97,3,6,9.08,10.11,0,WD6190_TOT_CONUS
3917946,9.22,8.35,9.44,7.07,5.91,4.33,2,2.61,2.81,5.57,10.06,10.45,0,WD6190_TOT_CONUS
3917948,9.39,8.27,9.45,6.85,6.07,4.95,2,2.99,3.16,5.94,10.3,10.87,0,WD6190_TOT_CONUS
3917950,9.26,8.42,9.51,7.1,5.93,4.34,2,2.63,2.81,5.58,10.12,10.5,0,WD6190_TOT_CONUS
948010089,8.97,7.55,8.55,6.55,5.97,4.97,2,2.97,3,6,9.07,10.1,0,WD6190_TOT_CONUS
