...1,COMID,ACC_PPT_JAN_2016,ACC_PPT_FEB_2016,ACC_PPT_MAR_2016,ACC_PPT_APR_2016,ACC_PPT_MAY_2016,ACC_PPT_JUN_2016,ACC_PPT_JUL_2016,ACC_PPT_AUG_2016,ACC_PPT_SEP_2016,ACC_PPT_OCT_2016,ACC_PPT_NOV_2016,ACC_PPT_DEC_2016,source
406322,3917070,156.49,61.25,148.57,61.81,40.12,28.23,4.34,0.92,8.02,243.56,120.9,185.86,ACC_PPT_2016
406323,3917072,155.99,59.31,148.41,61.56,40,28.31,4.28,0.93,7.76,243.46,120.31,184.6,ACC_PPT_2016
406328,3917082,179.04,74.79,169.52,65.01,34,24.74,3.28,1.13,4.03,261.9,133.89,197,ACC_PPT_2016
406329,3917084,164.69,67.13,159.99,64.35,36,25.18,3.69,1.07,4.54,255.82,128.18,189.95,ACC_PPT_2016
406340,3917106,164.99,66.73,158.76,62.42,34.85,25.6,3.58,1.08,4.36,252.98,124.39,185.22,ACC_PPT_2016
406344,3917114,149.75,54.22,141.04,55.28,34.6,27.63,3.82,0.98,5.24,229.1,106.21,160.21,ACC_PPT_2016
406352,3917130,146.86,54.11,140.25,52.01,33.39,30.18,3.75,1.18,4.24,225.42,97.71,153.09,ACC_PPT_2016
406355,3917136,159.57,62.91,149.82,55.08,31.56,26.8,3.41,1.12,4.02,242.39,106.47,166.06,ACC_PPT_2016
406356,3917138,131.9,45.95,123.38,42.81,29.19,29.47,3.67,1.1,4.08,217.24,71.54,126.27,ACC_PPT_2016
406364,3917154,153.9,57.83,145.51,59.33,38.32,28.19,4.15,0.94,7.12,237.98,115.32,176.44,ACC_PPT_2016
406365,3917156,141.1,46.41,124.67,45.83,31.86,29.73,3.83,0.92,6.05,202.24,85.24,132.9,ACC_PPT_2016
406366,3917158,141.69,37.15,107.69,31.19,24.75,28.82,4.03,0.81,4.95,154.05,61.27,95.92,ACC_PPT_2016
406367,3917160,146.12,40.24,111.94,34.24,25.4,27.71,4.01,0.83,5.75,156.57,65.57,95.96,ACC_PPT_2016
406368,3917162,145.62,53.02,138.39,51.16,33.08,30.24,3.75,1.16,4.28,222.77,95.91,150.07,ACC_PPT_2016
406369,3917164,141.49,41.98,114.89,36.97,27.4,28.53,3.98,0.87,5.59,167.84,67.41,102.63,ACC_PPT_2016
406373,3917172,148.04,49.43,130.11,47.79,32.74,28.54,4.1,0.9,6.47,200.96,90.24,138.3,ACC_PPT_2016
406375,3917176,145.13,51.34,135.09,49.77,32.9,30.15,3.81,1.1,4.8,216.25,93.33,145.41,ACC_PPT_2016
406376,3917178,145.2,51.99,136.29,50.47,33.1,30.19,3.78,1.11,4.67,219.34,94.7,147.78,ACC_PPT_2016
406383,3917194,136.33,46.41,131.21,46.19,35.19,36.56,4.02,1.42,4.07,205.97,84.37,135.72,ACC_PPT_2016
406384,3917198,144.46,48.83,130.24,46.52,31.47,29.93,3.84,1.05,4.88,204.52,87.23,135.55,ACC_PPT_2016
406385,3917200,143.2,47.82,127.98,45.3,30.77,29.79,3.84,1.05,4.78,200.27,85.09,132.42,ACC_PPT_2016
406388,3917212,134.33,39.14,112.47,36.09,28.95,32.44,3.79,1.17,4.55,164.42,65.54,103.29,ACC_PPT_2016
406389,3917214,133.1,37.22,107.1,32.08,24.48,28.82,3.44,1.24,4.01,149.65,57.65,94.11,ACC_PPT_2016
406391,3917218,134.39,38.78,111.52,35.25,28.03,31.66,3.72,1.18,4.44,161.42,64.12,101.6,ACC_PPT_2016
406392,3917220,134.48,38.68,111.28,34.99,27.74,31.41,3.69,1.19,4.39,160.48,63.74,101.14,ACC_PPT_2016
406395,3917228,135.65,37.36,108.06,31.49,23.82,27.98,3.33,1.29,3.81,147.69,58.55,94.92,ACC_PPT_2016
406396,3917230,97.42,27.22,80.2,24.12,14,25.28,3.57,1.01,1.37,112.08,35.01,60.46,ACC_PPT_2016
406398,3917244,171.3,46.67,153.22,41.16,32.57,33.33,2.7,1.02,2.94,189.93,82.85,117.14,ACC_PPT_2016
406399,3917250,131.63,39.73,113.15,37.42,30.71,33.81,3.74,1.28,4.45,168.07,67.79,107.12,ACC_PPT_2016
406402,3917256,136.68,42.45,121.48,41.14,34.15,36.21,3.92,1.44,4.38,179,78.37,119.57,ACC_PPT_2016
406406,3917268,136.63,42.25,120.93,40.74,33.73,35.87,3.89,1.43,4.36,177.72,77.56,118.56,ACC_PPT_2016
