COMID,CAT_AET2014_ANN,ACC_AET2014_ANN,TOT_AET2014_ANN,source
3917070,34.06,34.06,34.06,AET2014_ANN_CONUS
3917072,33.94,33.94,33.94,AET2014_ANN_CONUS
3917082,34.86,34.86,34.86,AET2014_ANN_CONUS
3917084,32.51,32.51,32.51,AET2014_ANN_CONUS
3917106,34.27,33.31,33.31,AET2014_ANN_CONUS
3917114,32.59,32.59,32.59,AET2014_ANN_CONUS
3917130,32.41,32.74,32.74,AET2014_ANN_CONUS
3917136,33.11,33.11,33.11,AET2014_ANN_CONUS
3917138,30.66,30.66,30.66,AET2014_ANN_CONUS
3917154,33.37,33.5,33.5,AET2014_ANN_CONUS
3917156,34.3,34.3,34.3,AET2014_ANN_CONUS
3917158,34.81,34.81,34.81,AET2014_ANN_CONUS
3917160,34.94,34.94,34.94,AET2014_ANN_CONUS
3917162,33.68,32.82,32.82,AET2014_ANN_CONUS
3917164,35.02,35.02,35.02,AET2014_ANN_CONUS
3917172,34.53,34.53,34.53,AET2014_ANN_CONUS
3917176,35.83,33.33,33.33,AET2014_ANN_CONUS
3917178,35.17,33.13,33.13,AET2014_ANN_CONUS
3917194,33.06,33.06,33.06,AET2014_ANN_CONUS
3917198,34.49,33.68,33.68,AET2014_ANN_CONUS
3917200,33.87,33.72,33.72,AET2014_ANN_CONUS
3917212,34.27,34.27,34.27,AET2014_ANN_CONUS
3917214,33.7,33.7,33.7,AET2014_ANN_CONUS
3917218,34.4,34.23,34.23,AET2014_ANN_CONUS
3917220,34.31,34.24,34.24,AET2014_ANN_CONUS
3917228,34.31,34.31,34.31,AET2014_ANN_CONUS
3917230,30.36,30.36,30.36,AET2014_ANN_CONUS
3917244,32.19,32.69,32.78,AET2014_ANN_CONUS
3917250,33.93,33.93,33.93,AET2014_ANN_CONUS
3917256,34.31,34.85,34.85,AET2014_ANN_CONUS
3917268,34.31,34.83,34.83,AET2014_ANN_CONUS
3917272,32.95,35.37,35.37,AET2014_ANN_CONUS
3917274,34.29,34.29,34.29,AET2014_ANN_CONUS
3917276,33.73,32.19,32.19,AET2014_ANN_CONUS
3917278,33.22,32.39,32.39,AET2014_ANN_CONUS
3917280,34.3,32.91,32.91,AET2014_ANN_CONUS
3917282,34.06,32.64,32.64,AET2014_ANN_CONUS
3917284,34.27,32.79,32.79,AET2014_ANN_CONUS
3917286,34.27,34.27,34.27,AET2014_ANN_CONUS
3917912,34.37,32.96,32.96,AET2014_ANN_CONUS
3917914,31.38,31.62,31.62,AET2014_ANN_CONUS
3917916,32.26,32.44,32.44,AET2014_ANN_CONUS
3917918,35.11,33.6,33.6,AET2014_ANN_CONUS
3917920,34.77,34.87,34.87,AET2014_ANN_CONUS
3917922,34.37,34.37,34.37,AET2014_ANN_CONUS
3917946,32.18,32.67,32.77,AET2014_ANN_CONUS
3917948,33.76,33.72,33.72,AET2014_ANN_CONUS
3917950,33.19,32.7,32.79,AET2014_ANN_CONUS
3917956,36.55,36.55,36.55,AET2014_ANN_CONUS
3917958,32.9,32.9,32.9,AET2014_ANN_CONUS
3917960,30.83,30.83,30.83,AET2014_ANN_CONUS
948010089,34.32,34.36,34.36,AET2014_ANN_CONUS
