COMID,BANKFULL_WIDTH,BANKFULL_DEPTH,BANKFULL_XSEC_AREA,source
3917070,3.37,0.27,1.21,BANKFULL_CONUS
3917072,1.06,0.11,0.18,BANKFULL_CONUS
3917082,3.23,0.26,1.12,BANKFULL_CONUS
3917084,8.13,0.51,5.09,BANKFULL_CONUS
3917106,10.23,0.6,7.4,BANKFULL_CONUS
3917114,3.63,0.28,1.36,BANKFULL_CONUS
3917130,15.58,0.82,14.71,BANKFULL_CONUS
3917136,3.48,0.27,1.27,BANKFULL_CONUS
3917138,1.18,0.12,0.22,BANKFULL_CONUS
3917154,6.68,0.44,3.69,BANKFULL_CONUS
3917156,4.38,0.32,1.85,BANKFULL_CONUS
3917158,3.75,0.29,1.43,BANKFULL_CONUS
3917160,5.39,0.38,2.6,BANKFULL_CONUS
3917162,16.3,0.85,15.84,BANKFULL_CONUS
3917164,6.71,0.44,3.72,BANKFULL_CONUS
3917172,6.37,0.43,3.41,BANKFULL_CONUS
3917176,18.8,0.95,20.01,BANKFULL_CONUS
3917178,17.99,0.92,18.61,BANKFULL_CONUS
3917194,8.98,0.55,5.98,BANKFULL_CONUS
3917198,20.66,1.01,23.35,BANKFULL_CONUS
3917200,21.23,1.03,24.39,BANKFULL_CONUS
3917212,7.25,0.47,4.22,BANKFULL_CONUS
3917214,3.09,0.25,1.05,BANKFULL_CONUS
3917218,7.9,0.5,4.85,BANKFULL_CONUS
3917220,8.13,0.51,5.08,BANKFULL_CONUS
3917228,2.78,0.23,0.88,BANKFULL_CONUS
3917230,4.17,0.31,1.71,BANKFULL_CONUS
3917244,42.59,1.73,76.12,BANKFULL_CONUS
3917250,6.22,0.42,3.28,BANKFULL_CONUS
3917256,10.01,0.59,7.14,BANKFULL_CONUS
3917268,10.18,0.6,7.34,BANKFULL_CONUS
3917272,8.28,0.52,5.23,BANKFULL_CONUS
3917274,1.54,0.15,0.33,BANKFULL_CONUS
3917276,7.97,0.5,4.92,BANKFULL_CONUS
3917278,8.67,0.53,5.64,BANKFULL_CONUS
3917280,9.94,0.59,7.06,BANKFULL_CONUS
3917282,9.24,0.56,6.27,BANKFULL_CONUS
3917284,9.6,0.58,6.68,BANKFULL_CONUS
3917286,2.17,0.19,0.59,BANKFULL_CONUS
3917912,17.36,0.89,17.56,BANKFULL_CONUS
3917914,7.53,0.48,4.48,BANKFULL_CONUS
3917916,12.1,0.68,9.74,BANKFULL_CONUS
3917918,20.11,0.99,22.32,BANKFULL_CONUS
3917920,6.92,0.45,3.91,BANKFULL_CONUS
3917922,6.84,0.45,3.84,BANKFULL_CONUS
3917946,42.87,1.74,76.93,BANKFULL_CONUS
3917948,21.39,1.04,24.7,BANKFULL_CONUS
3917950,42.37,1.72,75.48,BANKFULL_CONUS
3917956,7.07,0.46,4.05,BANKFULL_CONUS
3917958,4.75,0.34,2.11,BANKFULL_CONUS
3917960,5.81,0.4,2.93,BANKFULL_CONUS
948010089,7.11,0.46,4.08,BANKFULL_CONUS
