COMID,CAT_BEDPERM_1,CAT_BEDPERM_2,CAT_BEDPERM_3,CAT_BEDPERM_4,CAT_BEDPERM_5,CAT_BEDPERM_6,CAT_BEDPERM_7,NODATA,source
3917070,0,0,0,100,0,0,0,0,BEDPERM_CAT_CONUS
3917072,0,0,0,100,0,0,0,0,BEDPERM_CAT_CONUS
3917082,0,0,0,100,0,0,0,0,BEDPERM_CAT_CONUS
3917084,0,0,0,100,0,0,0,0,BEDPERM_CAT_CONUS
3917106,0,0,0,100,0,0,0,0,BEDPERM_CAT_CONUS
3917114,0,0,0,100,0,0,0,0,BEDPERM_CAT_CONUS
3917130,0,0,0,100,0,0,0,0,BEDPERM_CAT_CONUS
3917136,0,0,0,100,0,0,0,0,BEDPERM_CAT_CONUS
3917138,0,0,0,100,0,0,0,0,BEDPERM_CAT_CONUS
3917154,0.51,0,0,99.49,0,0,0,0,BEDPERM_CAT_CONUS
3917156,76.65,0,0,23.35,0,0,0,0,BEDPERM_CAT_CONUS
3917158,100,0,0,0,0,0,0,0,BEDPERM_CAT_CONUS
3917160,100,0,0,0,0,0,0,0,BEDPERM_CAT_CONUS
3917162,0,0,0,100,0,0,0,0,BEDPERM_CAT_CONUS
3917164,100,0,0,0,0,0,0,0,BEDPERM_CAT_CONUS
3917172,78.91,0,0,21.09,0,0,0,0,BEDPERM_CAT_CONUS
3917176,96.08,0,0,3.92,0,0,0,0,BEDPERM_CAT_CONUS
3917178,74.85,0,0,25.15,0,0,0,0,BEDPERM_CAT_CONUS
3917194,0,0,0,100,0,0,0,0,BEDPERM_CAT_CONUS
3917198,100,0,0,0,0,0,0,0,BEDPERM_CAT_CONUS
3917200,100,0,0,0,0,0,0,0,BEDPERM_CAT_CONUS
3917212,100,0,0,0,0,0,0,0,BEDPERM_CAT_CONUS
3917214,100,0,0,0,0,0,0,0,BEDPERM_CAT_CONUS
3917218,100,0,0,0,0,0,0,0,BEDPERM_CAT_CONUS
3917220,100,0,0,0,0,0,0,0,BEDPERM_CAT_CONUS
3917228,100,0,0,0,0,0,0,0,BEDPERM_CAT_CONUS
3917230,88.81,0,0,0,0,11.19,0,0,BEDPERM_CAT_CONUS
3917244,41.12,0,0,0,0,58.88,0,0,BEDPERM_CAT_CONUS
3917250,99.27,0,0,0.73,0,0,0,0,BEDPERM_CAT_CONUS
3917256,100,0,0,0,0,0,0,0,BEDPERM_CAT_CONUS
3917268,100,0,0,0,0,0,0,0,BEDPERM_CAT_CONUS
3917272,100,0,0,0,0,0,0,0,BEDPERM_CAT_CONUS
3917274,100,0,0,0,0,0,0,0,BEDPERM_CAT_CONUS
3917276,100,0,0,0,0,0,0,0,BEDPERM_CAT_CONUS
3917278,100,0,0,0,0,0,0,0,BEDPERM_CAT_CONUS
3917280,100,0,0,0,0,0,0,0,BEDPERM_CAT_CONUS
3917282,100,0,0,0,0,0,0,0,BEDPERM_CAT_CONUS
3917284,100,0,0,0,0,0,0,0,BEDPERM_CAT_CONUS
3917286,100,0,0,0,0,0,0,0,BEDPERM_CAT_CONUS
3917912,30.77,0,0,69.23,0,0,0,0,BEDPERM_CAT_CONUS
3917914,0,0,0,100,0,0,0,0,BEDPERM_CAT_CONUS
3917916,0,0,0,100,0,0,0,0,BEDPERM_CAT_CONUS
3917918,99.96,0,0,0.04,0,0,0,0,BEDPERM_CAT_CONUS
3917920,100,0,0,0,0,0,0,0,BEDPERM_CAT_CONUS
3917922,100,0,0,0,0,0,0,0,BEDPERM_CAT_CONUS
3917946,24.95,0,0,0,0,75.05,0,0,BEDPERM_CAT_CONUS
3917948,79.84,0,0,0,0,20.16,0,0,BEDPERM_CAT_CONUS
3917950,17.58,0,0,0,0,82.42,0,0,BEDPERM_CAT_CONUS
3917956,40.08,0,0,59.92,0,0,0,0,BEDPERM_CAT_CONUS
3917958,99.98,0,0,0.02,0,0,0,0,BEDPERM_CAT_CONUS
3917960,99.51,0,0,0.49,0,0,0,0,BEDPERM_CAT_CONUS
948010089,100,0,0,0,0,0,0,0,BEDPERM_CAT_CONUS
