COMID,TOT_BEDPERM_1,TOT_BEDPERM_2,TOT_BEDPERM_3,TOT_BEDPERM_4,TOT_BEDPERM_5,TOT_BEDPERM_6,TOT_BEDPERM_7,TOT_NODATA,source
3917070,0,0,0,100,0,0,0,0,BEDPERM_TOT_CONUS
3917072,0,0,0,100,0,0,0,0,BEDPERM_TOT_CONUS
3917082,0,0,0,100,0,0,0,0,BEDPERM_TOT_CONUS
3917084,0,0,0,100,0,0,0,0,BEDPERM_TOT_CONUS
3917106,0,0,0,100,0,0,0,0,BEDPERM_TOT_CONUS
3917114,0,0,0,100,0,0,0,0,BEDPERM_TOT_CONUS
3917130,0,0,0,100,0,0,0,0,BEDPERM_TOT_CONUS
3917136,0,0,0,100,0,0,0,0,BEDPERM_TOT_CONUS
3917138,0,0,0,100,0,0,0,0,BEDPERM_TOT_CONUS
3917154,0.41,0,0,99.59,0,0,0,0,BEDPERM_TOT_CONUS
3917156,76.65,0,0,23.35,0,0,0,0,BEDPERM_TOT_CONUS
3917158,100,0,0,0,0,0,0,0,BEDPERM_TOT_CONUS
3917160,100,0,0,0,0,0,0,0,BEDPERM_TOT_CONUS
3917162,0,0,0,100,0,0,0,0,BEDPERM_TOT_CONUS
3917164,100,0,0,0,0,0,0,0,BEDPERM_TOT_CONUS
3917172,78.91,0,0,21.09,0,0,0,0,BEDPERM_TOT_CONUS
3917176,16.15,0,0,83.85,0,0,0,0,BEDPERM_TOT_CONUS
3917178,8.03,0,0,91.97,0,0,0,0,BEDPERM_TOT_CONUS
3917194,0,0,0,100,0,0,0,0,BEDPERM_TOT_CONUS
3917198,33.8,0,0,66.2,0,0,0,0,BEDPERM_TOT_CONUS
3917200,38.1,0,0,61.9,0,0,0,0,BEDPERM_TOT_CONUS
3917212,100,0,0,0,0,0,0,0,BEDPERM_TOT_CONUS
3917214,100,0,0,0,0,0,0,0,BEDPERM_TOT_CONUS
3917218,100,0,0,0,0,0,0,0,BEDPERM_TOT_CONUS
3917220,100,0,0,0,0,0,0,0,BEDPERM_TOT_CONUS
3917228,100,0,0,0,0,0,0,0,BEDPERM_TOT_CONUS
3917230,88.81,0,0,0,0,11.19,0,0,BEDPERM_TOT_CONUS
3917244,55.06,0,0,33.43,0,11.51,0,0,BEDPERM_TOT_CONUS
3917250,99.27,0,0,0.73,0,0,0,0,BEDPERM_TOT_CONUS
3917256,74.7,0,0,25.3,0,0,0,0,BEDPERM_TOT_CONUS
3917268,75.74,0,0,24.26,0,0,0,0,BEDPERM_TOT_CONUS
3917272,59.64,0,0,40.36,0,0,0,0,BEDPERM_TOT_CONUS
3917274,100,0,0,0,0,0,0,0,BEDPERM_TOT_CONUS
3917276,99.77,0,0,0.23,0,0,0,0,BEDPERM_TOT_CONUS
3917278,99.82,0,0,0.18,0,0,0,0,BEDPERM_TOT_CONUS
3917280,99.87,0,0,0.13,0,0,0,0,BEDPERM_TOT_CONUS
3917282,99.84,0,0,0.16,0,0,0,0,BEDPERM_TOT_CONUS
3917284,99.86,0,0,0.14,0,0,0,0,BEDPERM_TOT_CONUS
3917286,100,0,0,0,0,0,0,0,BEDPERM_TOT_CONUS
3917912,1.72,0,0,98.28,0,0,0,0,BEDPERM_TOT_CONUS
3917914,0,0,0,100,0,0,0,0,BEDPERM_TOT_CONUS
3917916,0,0,0,100,0,0,0,0,BEDPERM_TOT_CONUS
3917918,29.1,0,0,70.91,0,0,0,0,BEDPERM_TOT_CONUS
3917920,100,0,0,0,0,0,0,0,BEDPERM_TOT_CONUS
3917922,100,0,0,0,0,0,0,0,BEDPERM_TOT_CONUS
3917946,54.76,0,0,32.89,0,12.36,0,0,BEDPERM_TOT_CONUS
3917948,38.89,0,0,60.73,0,0.38,0,0,BEDPERM_TOT_CONUS
3917950,55.24,0,0,33.86,0,10.9,0,0,BEDPERM_TOT_CONUS
3917956,40.08,0,0,59.92,0,0,0,0,BEDPERM_TOT_CONUS
3917958,99.98,0,0,0.02,0,0,0,0,BEDPERM_TOT_CONUS
3917960,99.51,0,0,0.49,0,0,0,0,BEDPERM_TOT_CONUS
948010089,100,0,0,0,0,0,0,0,BEDPERM_TOT_CONUS
