COMID,DIST_TO_ST,NODATA,source
3917070,691.26,0,DIST_TO_ST
3917072,396.44,0,DIST_TO_ST
3917082,1724.44,0,DIST_TO_ST
3917084,1823.77,0,DIST_TO_ST
3917106,1464.53,0,DIST_TO_ST
3917114,353.03,0,DIST_TO_ST
3917130,1464.11,0,DIST_TO_ST
3917136,1581,0,DIST_TO_ST
3917138,443.23,0,DIST_TO_ST
3917154,995.59,0,DIST_TO_ST
3917156,397,0,DIST_TO_ST
3917158,394.04,0,DIST_TO_ST
3917160,511.87,0,DIST_TO_ST
3917162,2257.87,0,DIST_TO_ST
3917164,1023.3,0,DIST_TO_ST
3917172,577.02,0,DIST_TO_ST
3917176,2697.07,0,DIST_TO_ST
3917178,2278.21,0,DIST_TO_ST
3917194,3193.14,0,DIST_TO_ST
3917198,172.45,0,DIST_TO_ST
3917200,132.02,0,DIST_TO_ST
3917230,424.58,0,DIST_TO_ST
3917244,1008.53,0,DIST_TO_ST
3917912,1906.81,0,DIST_TO_ST
3917914,2995.77,0,DIST_TO_ST
3917916,1720.09,0,DIST_TO_ST
3917918,2214.43,0,DIST_TO_ST
3917920,329.07,0,DIST_TO_ST
3917922,1311.31,0,DIST_TO_ST
3917946,1008.81,0,DIST_TO_ST
3917948,435.03,0,DIST_TO_ST
3917950,2321.44,0,DIST_TO_ST
948010089,434.56,0,DIST_TO_ST
