COMID,CAT_HDENS50,NODATA,ACC_HDENS50,ACC_NODATA,TOT_HDENS50,TOT_NODATA,source
3917070,0,0,0,0,0,0,HDENS50_CONUS
3917072,0,0,0,0,0,0,HDENS50_CONUS
3917082,0,0,0,0,0,0,HDENS50_CONUS
3917084,0,0,0,0,0,0,HDENS50_CONUS
3917106,0,0,0,0,0,0,HDENS50_CONUS
3917114,0,0,0,0,0,0,HDENS50_CONUS
3917130,0,0,0,0,0,0,HDENS50_CONUS
3917136,0,0,0,0,0,0,HDENS50_CONUS
3917138,0,0,0,0,0,0,HDENS50_CONUS
3917154,0,0,0,0,0,0,HDENS50_CONUS
3917156,0,0,0,0,0,0,HDENS50_CONUS
3917158,0,0,0,0,0,0,HDENS50_CONUS
3917160,0,0,0,0,0,0,HDENS50_CONUS
3917162,0,0,0,0,0,0,HDENS50_CONUS
3917164,0,0,0,0,0,0,HDENS50_CONUS
3917172,0,0,0,0,0,0,HDENS50_CONUS
3917176,0,0,0,0,0,0,HDENS50_CONUS
3917178,0,0,0,0,0,0,HDENS50_CONUS
3917194,0,0,0,0,0,0,HDENS50_CONUS
3917198,0,0,0,0,0,0,HDENS50_CONUS
3917200,0,0,0,0,0,0,HDENS50_CONUS
3917230,0,0,0,0,0,0,HDENS50_CONUS
3917244,0,0,0.37,0,1.13,0,HDENS50_CONUS
3917912,0,0,0,0,0,0,HDENS50_CONUS
3917914,0,0,0,0,0,0,HDENS50_CONUS
3917916,0,0,0,0,0,0,HDENS50_CONUS
3917918,0,0,0,0,0,0,HDENS50_CONUS
3917920,0,0,0,0,0,0,HDENS50_CONUS
3917922,0,0,0,0,0,0,HDENS50_CONUS
3917946,0,0,0.37,0,1.11,0,HDENS50_CONUS
3917948,0,0,0,0,0,0,HDENS50_CONUS
3917950,0,0,0.38,0,1.15,0,HDENS50_CONUS
948010089,0,0,0,0,0,0,HDENS50_CONUS
