COMID,TOT_OLSON_K,TOT_OLSON_CAO,TOT_OLSON_FE,TOT_OLSON_MGO,TOT_OLSON_P,TOT_OLSON_S,TOT_OLSON_SI,TOT_OLSON_UCS,TOT_OLSON_PERM,TOT_NODATA,source
3917070,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,0,OLSON_TOT_CONUS
3917072,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,0,OLSON_TOT_CONUS
3917082,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,0,OLSON_TOT_CONUS
3917084,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,0,OLSON_TOT_CONUS
3917106,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,0,OLSON_TOT_CONUS
3917114,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,0,OLSON_TOT_CONUS
3917130,1.79,6.41,7.43,3.62,0.26,0.02,58.24,132.74,0.41,0,OLSON_TOT_CONUS
3917136,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,0,OLSON_TOT_CONUS
3917138,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,0,OLSON_TOT_CONUS
3917154,1.71,6.76,7.88,3.93,0.27,0.02,57.36,139.38,0.47,0,OLSON_TOT_CONUS
3917156,1.75,6.74,7.96,4.01,0.27,0.02,57.31,140.09,0.47,0,OLSON_TOT_CONUS
3917158,1.75,6.74,7.96,4.01,0.27,0.02,57.31,140.09,0.47,0,OLSON_TOT_CONUS
3917160,1.75,6.74,7.96,4.01,0.27,0.02,57.31,140.09,0.47,0,OLSON_TOT_CONUS
3917162,1.81,6.32,7.31,3.54,0.26,0.02,58.46,131.05,0.39,0,OLSON_TOT_CONUS
3917164,1.75,6.74,7.96,4.01,0.27,0.02,57.31,140.09,0.47,0,OLSON_TOT_CONUS
3917172,1.74,6.75,7.94,3.98,0.27,0.02,57.33,139.88,0.47,0,OLSON_TOT_CONUS
3917176,1.82,6.29,7.29,3.53,0.26,0.02,58.53,130.61,0.39,0,OLSON_TOT_CONUS
3917178,1.82,6.29,7.29,3.53,0.26,0.02,58.52,130.59,0.39,0,OLSON_TOT_CONUS
3917194,1.86,6.14,7.08,3.39,0.25,0.02,58.92,127.61,0.36,0,OLSON_TOT_CONUS
3917198,1.82,6.32,7.35,3.57,0.26,0.02,58.43,131.46,0.39,0,OLSON_TOT_CONUS
3917200,1.82,6.35,7.39,3.6,0.26,0.02,58.36,132.02,0.4,0,OLSON_TOT_CONUS
3917212,2.04,5.42,6.19,2.79,0.23,0.02,60.67,114.41,0.23,0,OLSON_TOT_CONUS
3917214,1.81,6.48,7.61,3.77,0.26,0.02,57.97,135.06,0.42,0,OLSON_TOT_CONUS
3917218,2.01,5.58,6.4,2.94,0.23,0.02,60.27,117.5,0.26,0,OLSON_TOT_CONUS
3917220,1.99,5.64,6.47,2.99,0.24,0.02,60.13,118.55,0.27,0,OLSON_TOT_CONUS
3917228,1.84,6.36,7.44,3.65,0.26,0.02,58.29,132.6,0.4,0,OLSON_TOT_CONUS
3917230,1.75,6.61,8.43,3.93,0.26,0.02,56.73,136.52,3.77,0,OLSON_TOT_CONUS
3917244,1.77,5.38,9.62,4.56,0.22,0.04,55.2,109.4,14.73,0.5,OLSON_TOT_CONUS
3917250,1.96,5.81,6.71,3.15,0.24,0.02,59.68,122,0.3,0,OLSON_TOT_CONUS
3917256,1.93,5.89,6.79,3.2,0.24,0.02,59.51,123.27,0.31,0,OLSON_TOT_CONUS
3917268,1.93,5.92,6.84,3.24,0.25,0.02,59.42,123.95,0.32,0,OLSON_TOT_CONUS
3917272,1.94,5.82,6.69,3.13,0.24,0.02,59.69,121.83,0.3,0,OLSON_TOT_CONUS
3917274,1.75,6.74,7.96,4.01,0.27,0.02,57.31,140.09,0.47,0,OLSON_TOT_CONUS
3917276,1.73,6.71,7.85,3.91,0.27,0.02,57.46,138.77,0.46,0,OLSON_TOT_CONUS
3917278,1.74,6.69,7.83,3.9,0.27,0.02,57.5,138.44,0.46,0,OLSON_TOT_CONUS
3917280,1.75,6.69,7.85,3.92,0.27,0.02,57.5,139.13,0.47,0,OLSON_TOT_CONUS
3917282,1.74,6.69,7.84,3.91,0.27,0.02,57.49,138.75,0.46,0,OLSON_TOT_CONUS
3917284,1.75,6.68,7.84,3.91,0.27,0.02,57.52,139.04,0.47,0,OLSON_TOT_CONUS
3917286,1.75,6.74,7.96,4.01,0.27,0.02,57.31,140.09,0.47,0,OLSON_TOT_CONUS
3917912,1.81,6.34,7.33,3.56,0.26,0.02,58.42,131.34,0.39,0,OLSON_TOT_CONUS
3917914,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,0,OLSON_TOT_CONUS
3917916,1.82,6.28,7.26,3.51,0.26,0.02,58.57,130.24,0.38,0,OLSON_TOT_CONUS
3917918,1.83,6.3,7.31,3.54,0.26,0.02,58.5,130.82,0.39,0,OLSON_TOT_CONUS
3917920,1.76,6.71,7.94,3.99,0.27,0.02,57.39,140.42,0.48,0,OLSON_TOT_CONUS
3917922,1.75,6.74,7.96,4.01,0.27,0.02,57.31,140.09,0.47,0,OLSON_TOT_CONUS
3917946,1.77,5.38,9.64,4.54,0.22,0.04,55.18,109.59,14.78,0.56,OLSON_TOT_CONUS
3917948,1.82,6.31,7.56,3.58,0.26,0.02,58.14,130.96,1.52,0,OLSON_TOT_CONUS
3917950,1.77,5.41,9.46,4.6,0.22,0.03,55.4,110.44,13.59,0.5,OLSON_TOT_CONUS
3917956,1.96,5.72,6.55,3.03,0.24,0.02,59.95,119.83,0.28,0,OLSON_TOT_CONUS
3917958,1.71,6.76,7.89,3.94,0.27,0.02,57.35,139.49,0.47,0,OLSON_TOT_CONUS
3917960,1.71,6.76,7.9,3.94,0.27,0.02,57.35,139.54,0.47,0,OLSON_TOT_CONUS
948010089,1.75,6.74,7.96,4.01,0.27,0.02,57.31,140.09,0.47,0,OLSON_TOT_CONUS
