COMID,CAT_PET2015_ANN,ACC_PET2015_ANN,TOT_PET2015_ANN,source
3917070,49.78,49.78,49.78,PET2015_ANN_CONUS
3917072,50.27,50.27,50.27,PET2015_ANN_CONUS
3917082,46.82,46.82,46.82,PET2015_ANN_CONUS
3917084,48.14,48.14,48.14,PET2015_ANN_CONUS
3917106,48.39,48.16,48.16,PET2015_ANN_CONUS
3917114,52.28,52.28,52.28,PET2015_ANN_CONUS
3917130,51.99,50.56,50.56,PET2015_ANN_CONUS
3917136,50.46,50.46,50.46,PET2015_ANN_CONUS
3917138,54.1,54.1,54.1,PET2015_ANN_CONUS
3917154,51.02,50.79,50.79,PET2015_ANN_CONUS
3917156,53.96,53.96,53.96,PET2015_ANN_CONUS
3917158,60.86,60.86,60.86,PET2015_ANN_CONUS
3917160,60.41,60.41,60.41,PET2015_ANN_CONUS
3917162,53.78,50.87,50.87,PET2015_ANN_CONUS
3917164,58.24,58.24,58.24,PET2015_ANN_CONUS
3917172,54.7,54.7,54.7,PET2015_ANN_CONUS
3917176,55.54,51.76,51.76,PET2015_ANN_CONUS
3917178,54.89,51.38,51.38,PET2015_ANN_CONUS
3917194,50.37,50.37,50.37,PET2015_ANN_CONUS
3917198,61.19,53.32,53.32,PET2015_ANN_CONUS
3917200,61.63,53.86,53.86,PET2015_ANN_CONUS
3917212,56.86,56.86,56.86,PET2015_ANN_CONUS
3917214,60.59,60.59,60.59,PET2015_ANN_CONUS
3917218,60.94,57.61,57.61,PET2015_ANN_CONUS
3917220,60.96,57.84,57.84,PET2015_ANN_CONUS
3917228,60.96,60.96,60.96,PET2015_ANN_CONUS
3917230,62.92,62.92,62.92,PET2015_ANN_CONUS
3917244,62.88,55.43,54.99,PET2015_ANN_CONUS
3917250,55.94,55.94,55.94,PET2015_ANN_CONUS
3917256,60.96,53.3,53.3,PET2015_ANN_CONUS
3917268,60.96,53.61,53.61,PET2015_ANN_CONUS
3917272,57.85,51.07,51.07,PET2015_ANN_CONUS
3917274,61,61,61,PET2015_ANN_CONUS
3917276,56.19,50.74,50.74,PET2015_ANN_CONUS
3917278,58.86,52.27,52.27,PET2015_ANN_CONUS
3917280,60.99,54.62,54.62,PET2015_ANN_CONUS
3917282,59.22,53.33,53.33,PET2015_ANN_CONUS
3917284,61.15,54.05,54.05,PET2015_ANN_CONUS
3917286,61.14,61.14,61.14,PET2015_ANN_CONUS
3917912,54.83,51.08,51.08,PET2015_ANN_CONUS
3917914,54.02,53.5,53.5,PET2015_ANN_CONUS
3917916,52.56,51.81,51.81,PET2015_ANN_CONUS
3917918,58.66,52.8,52.8,PET2015_ANN_CONUS
3917920,60.91,60.64,60.64,PET2015_ANN_CONUS
3917922,61.57,61.57,61.57,PET2015_ANN_CONUS
3917946,63.68,55.62,55.13,PET2015_ANN_CONUS
3917948,61.77,54,54,PET2015_ANN_CONUS
3917950,62.41,55.3,54.88,PET2015_ANN_CONUS
3917956,47.79,47.79,47.79,PET2015_ANN_CONUS
3917958,48.22,48.22,48.22,PET2015_ANN_CONUS
3917960,48.95,48.95,48.95,PET2015_ANN_CONUS
948010089,61.66,61.58,61.58,PET2015_ANN_CONUS
