COMID,TOT_PHYSIO_0,TOT_PHYSIO_1,TOT_PHYSIO_3,TOT_PHYSIO_4,TOT_PHYSIO_5,TOT_PHYSIO_6,TOT_PHYSIO_7,TOT_PHYSIO_8,TOT_PHYSIO_9,TOT_PHYSIO_10,TOT_PHYSIO_11,TOT_PHYSIO_12,TOT_PHYSIO_13,TOT_PHYSIO_14,TOT_PHYSIO_15,TOT_PHYSIO_16,TOT_PHYSIO_17,TOT_PHYSIO_18,TOT_PHYSIO_19,TOT_PHYSIO_20,TOT_PHYSIO_21,TOT_PHYSIO_22,TOT_PHYSIO_23,TOT_PHYSIO_24,TOT_PHYSIO_25,TOT_PHYSIO_AREA,TOT_NODATA,source
3917070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
