...1,COMID,CAT_PMAP,NODATA,ACC_PMAP,TOT_PMAP,ACC_NODATA,TOT_NODATA,source
406322,3917070,1068.98,0,1068.98,1068.98,0,0,PMAP_CONUS
406323,3917072,1193.03,0,1193.03,1193.03,0,0,PMAP_CONUS
406328,3917082,1071.66,0,1071.66,1071.66,0,0,PMAP_CONUS
406329,3917084,1052.66,0,1052.66,1052.66,0,0,PMAP_CONUS
406340,3917106,1182.63,0,1103.4,1103.4,0,0,PMAP_CONUS
406344,3917114,1256.85,0,1256.85,1256.85,0,0,PMAP_CONUS
406352,3917130,1197.8,0,1174.81,1174.81,0,0,PMAP_CONUS
406355,3917136,1116.98,0,1116.98,1116.98,0,0,PMAP_CONUS
406356,3917138,1237.24,0,1237.24,1237.24,0,0,PMAP_CONUS
406364,3917154,1215.62,0,1188.97,1188.97,0,0,PMAP_CONUS
406365,3917156,1203.03,0,1203.03,1203.03,0,0,PMAP_CONUS
406366,3917158,733.33,0,733.33,733.33,0,0,PMAP_CONUS
406367,3917160,733.33,0,733.33,733.33,0,0,PMAP_CONUS
406368,3917162,1063.22,0,1167.33,1167.33,0,0,PMAP_CONUS
406369,3917164,746.71,0,746.71,746.71,0,0,PMAP_CONUS
406373,3917172,950.79,0,950.79,950.79,0,0,PMAP_CONUS
406375,3917176,878.47,0,1131.84,1131.84,0,0,PMAP_CONUS
406376,3917178,967.82,0,1156.25,1156.25,0,0,PMAP_CONUS
406383,3917194,1234.07,0,1234.07,1234.07,0,0,PMAP_CONUS
406384,3917198,737.39,0,1054.28,1054.28,0,0,PMAP_CONUS
406385,3917200,733.33,0,1033.46,0,0,0,PMAP_CONUS
406388,3917212,871.41,0,871.41,871.41,0,0,PMAP_CONUS
406389,3917214,813.33,0,813.33,813.33,0,0,PMAP_CONUS
406391,3917218,784.47,0,857.32,857.32,0,0,PMAP_CONUS
406392,3917220,733.33,0,849.86,849.86,0,0,PMAP_CONUS
406395,3917228,749.05,0,749.05,749.05,0,0,PMAP_CONUS
406396,3917230,733.33,0,733.33,733.33,0,0,PMAP_CONUS
406398,3917244,733.33,0,937.28,0,0,0,PMAP_CONUS
406399,3917250,891.19,0,891.19,891.19,0,0,PMAP_CONUS
406402,3917256,778.92,0,943.18,943.18,0,0,PMAP_CONUS
406406,3917268,743.92,0,935.02,935.02,0,0,PMAP_CONUS
406408,3917272,838.49,0,988.53,988.53,0,0,PMAP_CONUS
406409,3917274,787.47,0,787.47,787.47,0,0,PMAP_CONUS
406410,3917276,890.13,0,992.52,992.52,0,0,PMAP_CONUS
406411,3917278,809.34,0,957.98,957.98,0,0,PMAP_CONUS
406412,3917280,765.16,0,906.12,906.12,0,0,PMAP_CONUS
406413,3917282,790.41,0,932.92,932.92,0,0,PMAP_CONUS
406414,3917284,781.26,0,918.97,918.97,0,0,PMAP_CONUS
406415,3917286,752.14,0,752.14,752.14,0,0,PMAP_CONUS
406496,3917912,1114.56,0,1166.43,1166.43,0,0,PMAP_CONUS
406497,3917914,1216.11,0,1201.97,1201.97,0,0,PMAP_CONUS
406498,3917916,1199.09,0,1216.53,1216.53,0,0,PMAP_CONUS
406499,3917918,799.12,0,1077.09,1077.09,0,0,PMAP_CONUS
406500,3917920,733.78,0,733.45,733.45,0,0,PMAP_CONUS
406501,3917922,733.33,0,733.33,733.33,0,0,PMAP_CONUS
406511,3917946,733.33,0,932.74,0,0,0,PMAP_CONUS
406512,3917948,733.33,0,1027.8,0,0,0,PMAP_CONUS
406513,3917950,733.33,0,940.93,0,0,0,PMAP_CONUS
406516,3917956,1061.27,0,1061.27,1061.27,0,0,PMAP_CONUS
406517,3917958,990.22,0,990.22,990.22,0,0,PMAP_CONUS
406518,3917960,1056.05,0,1056.05,1056.05,0,0,PMAP_CONUS
2695742,948010089,733.33,0,733.33,0,0,0,PMAP_CONUS
