...1,COMID,TOT_S1100,TOT_S1200,TOT_S1400,TOT_S1500,TOT_S1630,TOT_S1640,TOT_S1710,TOT_S1720,TOT_S1730,TOT_S1740,TOT_S1750,TOT_S1780,TOT_S1820,TOT_S1830,TOT_TOTAL_ROAD_DENS,source
406321,3917070,0,0,2.26,0,0,0,0,0,0,0,0,0,0,0,2.26,ROAD_DENS_TOT_CONUS
406322,3917072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROAD_DENS_TOT_CONUS
406327,3917082,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,2.05,ROAD_DENS_TOT_CONUS
406328,3917084,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,2.1,ROAD_DENS_TOT_CONUS
406339,3917106,0,0,1.87,0,0,0,0,0,0,0,0,0,0,0,1.87,ROAD_DENS_TOT_CONUS
406343,3917114,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,1.58,ROAD_DENS_TOT_CONUS
406351,3917130,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,1.9,ROAD_DENS_TOT_CONUS
406354,3917136,0,0,3.07,0,0,0,0,0,0,0,0,0,0,0,3.07,ROAD_DENS_TOT_CONUS
406355,3917138,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,1.1,ROAD_DENS_TOT_CONUS
406363,3917154,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,1.57,ROAD_DENS_TOT_CONUS
406364,3917156,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0.53,ROAD_DENS_TOT_CONUS
406365,3917158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROAD_DENS_TOT_CONUS
406366,3917160,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.08,ROAD_DENS_TOT_CONUS
406367,3917162,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,1.78,ROAD_DENS_TOT_CONUS
406368,3917164,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0.46,ROAD_DENS_TOT_CONUS
406372,3917172,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0.61,ROAD_DENS_TOT_CONUS
406374,3917176,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.51,ROAD_DENS_TOT_CONUS
406375,3917178,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,1.61,ROAD_DENS_TOT_CONUS
406382,3917194,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,2.14,ROAD_DENS_TOT_CONUS
406383,3917198,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,1.3,ROAD_DENS_TOT_CONUS
406384,3917200,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,1.28,ROAD_DENS_TOT_CONUS
406395,3917230,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,1.6,ROAD_DENS_TOT_CONUS
406397,3917244,0.02,0.03,1.48,0,0.01,0,0,0,0,0.01,0,0,0,0,1.55,ROAD_DENS_TOT_CONUS
406495,3917912,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,1.7,ROAD_DENS_TOT_CONUS
406496,3917914,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,2.38,ROAD_DENS_TOT_CONUS
406497,3917916,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,2.05,ROAD_DENS_TOT_CONUS
406498,3917918,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,1.37,ROAD_DENS_TOT_CONUS
406499,3917920,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0.32,ROAD_DENS_TOT_CONUS
406500,3917922,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0.99,ROAD_DENS_TOT_CONUS
406510,3917946,0.02,0.03,1.48,0,0.01,0,0,0,0,0.01,0,0,0,0,1.56,ROAD_DENS_TOT_CONUS
406511,3917948,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,1.28,ROAD_DENS_TOT_CONUS
406512,3917950,0.02,0.03,1.48,0,0.01,0,0,0,0,0.01,0,0,0,0,1.56,ROAD_DENS_TOT_CONUS
2695741,948010089,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0.99,ROAD_DENS_TOT_CONUS
