COMID,CAT_RUN1995_ANN,ACC_RUN1995_ANN,TOT_RUN1995_ANN,source
3917070,798.96,798.96,798.96,RUN1995_ANN_CONUS
3917072,783.24,783.24,783.24,RUN1995_ANN_CONUS
3917082,861,861,861,RUN1995_ANN_CONUS
3917084,849.72,849.72,849.72,RUN1995_ANN_CONUS
3917106,804.12,832.92,832.92,RUN1995_ANN_CONUS
3917114,688.68,688.68,688.68,RUN1995_ANN_CONUS
3917130,684.12,789.84,789.84,RUN1995_ANN_CONUS
3917136,744.6,744.6,744.6,RUN1995_ANN_CONUS
3917138,637.2,637.2,637.2,RUN1995_ANN_CONUS
3917154,747.96,757.56,757.56,RUN1995_ANN_CONUS
3917156,613.2,613.2,613.2,RUN1995_ANN_CONUS
3917158,229.92,229.92,229.92,RUN1995_ANN_CONUS
3917160,256.2,256.2,256.2,RUN1995_ANN_CONUS
3917162,612.48,772.68,772.68,RUN1995_ANN_CONUS
3917164,398.16,398.16,398.16,RUN1995_ANN_CONUS
3917172,571.32,571.32,571.32,RUN1995_ANN_CONUS
3917176,602.52,729.6,729.6,RUN1995_ANN_CONUS
3917178,595.32,746.88,746.88,RUN1995_ANN_CONUS
3917194,894,894,894,RUN1995_ANN_CONUS
3917198,218.16,648.84,648.84,RUN1995_ANN_CONUS
3917200,189.48,619.2,619.2,RUN1995_ANN_CONUS
3917212,594.12,594.12,594.12,RUN1995_ANN_CONUS
3917214,312.36,312.36,312.36,RUN1995_ANN_CONUS
3917218,249.72,533.4,533.4,RUN1995_ANN_CONUS
3917220,254.52,514.2,514.2,RUN1995_ANN_CONUS
3917228,254.52,254.52,254.52,RUN1995_ANN_CONUS
3917230,99.48,99.48,99.48,RUN1995_ANN_CONUS
3917244,118.08,712.32,781.68,RUN1995_ANN_CONUS
3917250,690.6,690.6,690.6,RUN1995_ANN_CONUS
3917256,254.52,815.04,815.04,RUN1995_ANN_CONUS
3917268,254.52,792,792,RUN1995_ANN_CONUS
3917272,575.52,943.92,943.92,RUN1995_ANN_CONUS
3917274,263.52,263.52,263.52,RUN1995_ANN_CONUS
3917276,786,1087.44,1087.44,RUN1995_ANN_CONUS
3917278,523.32,981,981,RUN1995_ANN_CONUS
3917280,261.24,802.08,802.08,RUN1995_ANN_CONUS
3917282,491.16,905.4,905.4,RUN1995_ANN_CONUS
3917284,296.04,849.36,849.36,RUN1995_ANN_CONUS
3917286,294.36,294.36,294.36,RUN1995_ANN_CONUS
3917912,574.8,760.44,760.44,RUN1995_ANN_CONUS
3917914,670.92,681.24,681.24,RUN1995_ANN_CONUS
3917916,697.08,785.52,785.52,RUN1995_ANN_CONUS
3917918,390.48,677.76,677.76,RUN1995_ANN_CONUS
3917920,227.04,243.24,243.24,RUN1995_ANN_CONUS
3917922,193.56,193.56,193.56,RUN1995_ANN_CONUS
3917946,116.52,699,770.88,RUN1995_ANN_CONUS
3917948,176.16,610.92,610.92,RUN1995_ANN_CONUS
3917950,153.84,723,790.32,RUN1995_ANN_CONUS
3917956,1122.48,1122.48,1122.48,RUN1995_ANN_CONUS
3917958,1206.12,1206.12,1206.12,RUN1995_ANN_CONUS
3917960,1198.56,1198.56,1198.56,RUN1995_ANN_CONUS
948010089,186,192.84,192.84,RUN1995_ANN_CONUS
