COMID,CAT_RUN7100,NODATA,ACC_RUN7100,ACC_NODATA,TOT_RUN7100,TOT_NODATA,source
3917070,83.46,0,83.46,0,83.46,0,RUN7100_CONUS
3917072,83,0,83,0,83,0,RUN7100_CONUS
3917082,87.38,0,87.38,0,87.38,0,RUN7100_CONUS
3917084,108.2,0,108.2,0,108.2,0,RUN7100_CONUS
3917106,85.74,0,98.46,0,98.46,0,RUN7100_CONUS
3917114,83,0,83,0,83,0,RUN7100_CONUS
3917130,83,0,99.55,0,99.55,0,RUN7100_CONUS
3917136,112.26,0,112.26,0,112.26,0,RUN7100_CONUS
3917138,83,0,83,0,83,0,RUN7100_CONUS
3917154,83,0,83.08,0,83.08,0,RUN7100_CONUS
3917156,83,0,83,0,83,0,RUN7100_CONUS
3917158,83,0,83,0,83,0,RUN7100_CONUS
3917160,83.04,0,83.04,0,83.04,0,RUN7100_CONUS
3917162,83,0,97.78,0,97.78,0,RUN7100_CONUS
3917164,83.78,0,83.78,0,83.78,0,RUN7100_CONUS
3917172,83.89,0,83.89,0,83.89,0,RUN7100_CONUS
3917176,83,0,93.39,0,93.39,0,RUN7100_CONUS
3917178,83,0,94.55,0,94.55,0,RUN7100_CONUS
3917194,98.48,0,98.48,0,98.48,0,RUN7100_CONUS
3917198,83,0,91.25,0,91.25,0,RUN7100_CONUS
3917200,83,0,90.72,0,90.72,0,RUN7100_CONUS
3917212,83,0,83,0,83,0,RUN7100_CONUS
3917214,83,0,83,0,83,0,RUN7100_CONUS
3917218,83,0,83,0,83,0,RUN7100_CONUS
3917220,83,0,83,0,83,0,RUN7100_CONUS
3917228,83,0,83,0,83,0,RUN7100_CONUS
3917230,83,0,83,0,83,0,RUN7100_CONUS
3917244,83,0,91.32,0,98.95,0,RUN7100_CONUS
3917250,83,0,83,0,83,0,RUN7100_CONUS
3917256,83,0,83,0,83,0,RUN7100_CONUS
3917268,83,0,83,0,83,0,RUN7100_CONUS
3917272,83,0,83,0,83,0,RUN7100_CONUS
3917274,83,0,83,0,83,0,RUN7100_CONUS
3917276,83,0,83,0,83,0,RUN7100_CONUS
3917278,83,0,83,0,83,0,RUN7100_CONUS
3917280,83,0,83,0,83,0,RUN7100_CONUS
3917282,83,0,83,0,83,0,RUN7100_CONUS
3917284,83,0,83,0,83,0,RUN7100_CONUS
3917286,83,0,83,0,83,0,RUN7100_CONUS
3917912,83,0,95.63,0,95.63,0,RUN7100_CONUS
3917914,131.11,0,127.92,0,127.92,0,RUN7100_CONUS
3917916,83,0,104.01,0,104.01,0,RUN7100_CONUS
3917918,83,0,91.84,0,91.84,0,RUN7100_CONUS
3917920,83,0,83.02,0,83.02,0,RUN7100_CONUS
3917922,83.02,0,83.02,0,83.02,0,RUN7100_CONUS
3917946,83,0,91.14,0,98.69,0,RUN7100_CONUS
3917948,83,0,90.57,0,90.57,0,RUN7100_CONUS
3917950,83,0,91.47,0,99.15,0,RUN7100_CONUS
3917956,83,0,83,0,83,0,RUN7100_CONUS
3917958,83,0,83,0,83,0,RUN7100_CONUS
3917960,83,0,83,0,83,0,RUN7100_CONUS
948010089,83,0,83.02,0,83.02,0,RUN7100_CONUS
