COMID,ACC_SILTAVE,ACC_CLAYAVE,ACC_SANDAVE,ACC_NODATA,source
3917070,31.97,14.06,53.97,0,STATSGO_TEXT_ACC_CONUS
3917072,40.43,22.4,37.16,0,STATSGO_TEXT_ACC_CONUS
3917082,20.82,3.07,76.11,0,STATSGO_TEXT_ACC_CONUS
3917084,24.93,5.53,69.53,0,STATSGO_TEXT_ACC_CONUS
3917106,25.24,6.53,68.22,0,STATSGO_TEXT_ACC_CONUS
3917114,40.43,22.4,37.16,0,STATSGO_TEXT_ACC_CONUS
3917130,34.31,16.06,49.62,0,STATSGO_TEXT_ACC_CONUS
3917136,27.21,9.36,63.43,0,STATSGO_TEXT_ACC_CONUS
3917138,38.5,20.5,41,0,STATSGO_TEXT_ACC_CONUS
3917154,37.17,19.19,43.64,0,STATSGO_TEXT_ACC_CONUS
3917156,40.36,23.15,36.49,0,STATSGO_TEXT_ACC_CONUS
3917158,38.8,39.88,21.33,0,STATSGO_TEXT_ACC_CONUS
3917160,38.8,39.88,21.33,0,STATSGO_TEXT_ACC_CONUS
3917162,34.94,16.65,48.4,0,STATSGO_TEXT_ACC_CONUS
3917164,38.8,39.88,21.33,0,STATSGO_TEXT_ACC_CONUS
3917172,39.1,28.57,32.34,0,STATSGO_TEXT_ACC_CONUS
3917176,35.81,17.05,47.14,0,STATSGO_TEXT_ACC_CONUS
3917178,35.5,16.37,48.13,0,STATSGO_TEXT_ACC_CONUS
3917194,40.43,22.4,37.16,0,STATSGO_TEXT_ACC_CONUS
3917198,36.42,20.59,42.99,0,STATSGO_TEXT_ACC_CONUS
3917200,36.57,21.77,41.65,0,STATSGO_TEXT_ACC_CONUS
3917212,38.75,16.84,44.41,0,STATSGO_TEXT_ACC_CONUS
3917214,39.8,29.16,31.04,0,STATSGO_TEXT_ACC_CONUS
3917218,38.86,20.25,40.89,0,STATSGO_TEXT_ACC_CONUS
3917220,38.85,21.42,39.73,0,STATSGO_TEXT_ACC_CONUS
3917228,38.72,37.26,24.03,0,STATSGO_TEXT_ACC_CONUS
3917230,42.04,27.12,30.84,0,STATSGO_TEXT_ACC_CONUS
3917244,36.13,18.81,45.06,0.11,STATSGO_TEXT_ACC_CONUS
3917250,38.25,17.4,44.36,0,STATSGO_TEXT_ACC_CONUS
3917256,38.67,20.15,41.18,0,STATSGO_TEXT_ACC_CONUS
3917268,38.68,20.9,40.43,0,STATSGO_TEXT_ACC_CONUS
3917272,38.86,19.09,42.05,0,STATSGO_TEXT_ACC_CONUS
3917274,38.8,39.88,21.33,0,STATSGO_TEXT_ACC_CONUS
3917276,40.26,24.21,35.52,0,STATSGO_TEXT_ACC_CONUS
3917278,39.99,27.07,32.93,0,STATSGO_TEXT_ACC_CONUS
3917280,39.63,30.36,30,0,STATSGO_TEXT_ACC_CONUS
3917282,39.81,28.98,31.2,0,STATSGO_TEXT_ACC_CONUS
3917284,39.72,29.84,30.44,0,STATSGO_TEXT_ACC_CONUS
3917286,38.63,34.26,27.12,0,STATSGO_TEXT_ACC_CONUS
3917912,35.3,16.66,48.04,0,STATSGO_TEXT_ACC_CONUS
3917914,36.54,18.57,44.9,0,STATSGO_TEXT_ACC_CONUS
3917916,39.13,21.12,39.74,0,STATSGO_TEXT_ACC_CONUS
3917918,36.25,19.22,44.53,0,STATSGO_TEXT_ACC_CONUS
3917920,38.8,39.88,21.33,0,STATSGO_TEXT_ACC_CONUS
3917922,38.78,39.38,21.84,0,STATSGO_TEXT_ACC_CONUS
3917946,36.31,18.94,44.76,0.11,STATSGO_TEXT_ACC_CONUS
3917948,36.7,21.84,41.45,0,STATSGO_TEXT_ACC_CONUS
3917950,35.98,18.72,45.3,0.11,STATSGO_TEXT_ACC_CONUS
3917956,38.65,16.1,45.25,0,STATSGO_TEXT_ACC_CONUS
3917958,40.43,22.4,37.16,0,STATSGO_TEXT_ACC_CONUS
3917960,40.43,22.4,37.16,0,STATSGO_TEXT_ACC_CONUS
948010089,38.76,38.82,22.42,0,STATSGO_TEXT_ACC_CONUS
