COMID,CAT_STRM_DENS,ACC_STRM_DENS,TOT_STRM_DENS,source
3917070,0.62,0.62,0.62,STREAM_DENSITY_CONUS
3917072,2.37,2.33,2.33,STREAM_DENSITY_CONUS
3917082,0.13,0.13,0.13,STREAM_DENSITY_CONUS
3917084,0.16,0.16,0.16,STREAM_DENSITY_CONUS
3917106,0.28,0.21,0.21,STREAM_DENSITY_CONUS
3917114,1.1,1.1,1.1,STREAM_DENSITY_CONUS
3917130,0.32,0.22,0.22,STREAM_DENSITY_CONUS
3917136,0.28,0.28,0.28,STREAM_DENSITY_CONUS
3917138,1.61,1.58,1.58,STREAM_DENSITY_CONUS
3917154,0.63,0.64,0.64,STREAM_DENSITY_CONUS
3917156,0.94,0.94,0.94,STREAM_DENSITY_CONUS
3917158,0.82,0.81,0.81,STREAM_DENSITY_CONUS
3917160,0.68,0.68,0.68,STREAM_DENSITY_CONUS
3917162,0.22,0.24,0.24,STREAM_DENSITY_CONUS
3917164,0.29,0.29,0.29,STREAM_DENSITY_CONUS
3917172,0.78,0.78,0.78,STREAM_DENSITY_CONUS
3917176,0.35,0.34,0.34,STREAM_DENSITY_CONUS
3917178,0.36,0.31,0.31,STREAM_DENSITY_CONUS
3917194,0.12,0.12,0.12,STREAM_DENSITY_CONUS
3917198,2.01,0.37,0.37,STREAM_DENSITY_CONUS
3917200,2.54,0.38,0.38,STREAM_DENSITY_CONUS
3917230,0.84,0.84,0.84,STREAM_DENSITY_CONUS
3917244,0.34,0.27,0.28,STREAM_DENSITY_CONUS
3917912,0.29,0.28,0.28,STREAM_DENSITY_CONUS
3917914,0.15,0.18,0.18,STREAM_DENSITY_CONUS
3917916,0.44,0.21,0.21,STREAM_DENSITY_CONUS
3917918,0.33,0.34,0.34,STREAM_DENSITY_CONUS
3917920,1.03,0.8,0.8,STREAM_DENSITY_CONUS
3917922,0.38,0.38,0.38,STREAM_DENSITY_CONUS
3917946,0.43,0.28,0.29,STREAM_DENSITY_CONUS
3917948,1.06,0.39,0.39,STREAM_DENSITY_CONUS
3917950,0.27,0.27,0.28,STREAM_DENSITY_CONUS
948010089,1.66,0.5,0.5,STREAM_DENSITY_CONUS
