ID,COMID,TOT_TAV_JAN_2016,TOT_TAV_FEB_2016,TOT_TAV_MAR_2016,TOT_TAV_APR_2016,TOT_TAV_MAY_2016,TOT_TAV_JUN_2016,TOT_TAV_JUL_2016,TOT_TAV_AUG_2016,TOT_TAV_SEP_2016,TOT_TAV_OCT_2016,TOT_TAV_NOV_2016,TOT_TAV_DEC_2016,source
406322,3917070,-0.81,3.33,2.31,7.82,9.59,14.52,18.06,20.33,14.46,7.04,4.19,-2.19,TOT_TAV_2016
406323,3917072,-0.75,3.41,2.41,7.92,9.69,14.63,18.19,20.46,14.58,7.14,4.26,-2.16,TOT_TAV_2016
406328,3917082,-1.35,2.55,1.29,6.73,8.34,13.36,16.98,19.18,13.39,6.25,3.29,-2.74,TOT_TAV_2016
406329,3917084,-0.91,2.99,1.91,7.27,9,13.99,17.5,19.67,13.95,6.72,3.87,-2.4,TOT_TAV_2016
406340,3917106,-0.9,3.04,1.95,7.32,9.01,14,17.54,19.72,13.96,6.75,3.86,-2.39,TOT_TAV_2016
406344,3917114,-0.24,3.82,3.01,8.33,10.14,15.09,18.48,20.62,14.88,7.54,4.69,-1.84,TOT_TAV_2016
406352,3917130,-0.41,3.7,2.75,8.02,9.75,14.71,18.29,20.43,14.63,7.34,4.43,-2.01,TOT_TAV_2016
406355,3917136,-0.6,3.52,2.47,7.81,9.42,14.4,18.05,20.24,14.39,7.2,4.15,-2.11,TOT_TAV_2016
406356,3917138,0.44,4.84,4.09,9.27,10.91,15.84,19.51,21.66,15.76,8.49,5.37,-1.26,TOT_TAV_2016
406364,3917154,-0.59,3.54,2.61,8.06,9.85,14.79,18.29,20.52,14.68,7.27,4.4,-2.05,TOT_TAV_2016
406365,3917156,0.23,4.45,3.84,9.18,11.02,15.95,19.29,21.39,15.61,8.19,5.27,-1.4,TOT_TAV_2016
406366,3917158,2.52,5.88,6.64,11.4,13.65,18.57,21.48,22.66,16.89,10.17,7.14,0.09,TOT_TAV_2016
406367,3917160,2.19,5.92,6.39,11.29,13.48,18.35,21.25,22.7,16.89,9.98,7,0.06,TOT_TAV_2016
406368,3917162,-0.34,3.78,2.87,8.14,9.87,14.83,18.39,20.52,14.71,7.42,4.51,-1.94,TOT_TAV_2016
406369,3917164,1.36,5.42,5.28,10.53,12.48,17.41,20.6,22.48,16.63,9.43,6.4,-0.63,TOT_TAV_2016
406373,3917172,0.45,4.54,4.04,9.39,11.26,16.19,19.54,21.56,15.71,8.43,5.46,-1.28,TOT_TAV_2016
406375,3917176,-0.15,3.97,3.17,8.45,10.22,15.17,18.66,20.76,14.96,7.65,4.74,-1.77,TOT_TAV_2016
406376,3917178,-0.25,3.88,3.03,8.31,10.07,15.02,18.53,20.66,14.86,7.54,4.64,-1.85,TOT_TAV_2016
406383,3917194,-0.56,3.55,2.54,7.83,9.6,14.55,18.19,20.31,14.51,7.14,4.32,-2.19,TOT_TAV_2016
406384,3917198,0.29,4.32,3.75,8.97,10.81,15.75,19.14,21.12,15.32,8.09,5.16,-1.45,TOT_TAV_2016
406385,3917200,0.45,4.42,3.95,9.13,11.01,15.95,19.31,21.23,15.43,8.24,5.3,-1.34,TOT_TAV_2016
406388,3917212,1.34,5.17,5.06,10.11,12.14,17.09,20.18,21.82,16.08,9.01,6.11,-0.66,TOT_TAV_2016
406389,3917214,2.42,5.87,6.44,11.23,13.42,18.38,21.34,22.64,16.86,10.03,7.05,-0.03,TOT_TAV_2016
406391,3917218,1.57,5.31,5.36,10.35,12.42,17.37,20.43,21.99,16.23,9.23,6.31,-0.53,TOT_TAV_2016
406392,3917220,1.65,5.34,5.46,10.43,12.51,17.46,20.51,22.03,16.27,9.29,6.37,-0.49,TOT_TAV_2016
406395,3917228,2.72,5.87,6.79,11.45,13.73,18.68,21.59,22.7,16.86,10.22,7.22,0.04,TOT_TAV_2016
406396,3917230,2.96,5.9,7.28,11.65,14.16,19.13,22.3,23.24,17.13,10.54,7.42,0.22,TOT_TAV_2016
406398,3917244,1.05,4.8,4.64,9.55,11.61,16.58,19.69,21.26,15.62,8.53,5.74,-0.86,TOT_TAV_2016
406399,3917250,0.97,4.89,4.54,9.67,11.65,16.61,19.74,21.51,15.77,8.61,5.76,-0.92,TOT_TAV_2016
406402,3917256,0.36,4.25,3.71,8.89,10.83,15.79,18.99,20.83,15.07,7.89,5.11,-1.42,TOT_TAV_2016
406406,3917268,0.46,4.31,3.84,9,10.95,15.9,19.09,20.9,15.14,7.98,5.19,-1.36,TOT_TAV_2016
406408,3917272,-0.22,3.73,2.93,8.2,10.08,15.03,18.3,20.26,14.51,7.25,4.53,-1.84,TOT_TAV_2016
406409,3917274,2.72,5.87,6.79,11.45,13.73,18.68,21.59,22.7,16.86,10.22,7.22,0.04,TOT_TAV_2016
406410,3917276,-0.27,3.88,2.91,8.21,10.06,14.99,18.33,20.33,14.62,7.21,4.57,-1.78,TOT_TAV_2016
406411,3917278,0.13,4.21,3.42,8.67,10.57,15.5,18.79,20.71,15,7.64,4.96,-1.51,TOT_TAV_2016
406412,3917280,0.83,4.7,4.36,9.45,11.45,16.39,19.57,21.27,15.55,8.35,5.61,-1.05,TOT_TAV_2016
406413,3917282,0.46,4.45,3.86,9.04,10.98,15.92,19.16,20.99,15.27,7.98,5.27,-1.29,TOT_TAV_2016
406414,3917284,0.66,4.59,4.14,9.27,11.24,16.18,19.39,21.14,15.43,8.18,5.46,-1.15,TOT_TAV_2016
406415,3917286,2.67,6.03,6.86,11.55,13.79,18.73,21.63,22.7,17.01,10.21,7.32,0.2,TOT_TAV_2016
406496,3917912,-0.32,3.81,2.92,8.2,9.95,14.9,18.44,20.58,14.77,7.46,4.56,-1.91,TOT_TAV_2016
406497,3917914,0.24,4.57,3.76,8.93,10.57,15.53,19.29,21.4,15.55,8.26,5.1,-1.46,TOT_TAV_2016
406498,3917916,-0.19,4.03,3.12,8.36,10.08,15.02,18.68,20.8,14.97,7.64,4.69,-1.84,TOT_TAV_2016
406499,3917918,0.14,4.21,3.55,8.8,10.62,15.56,18.98,21.01,15.21,7.95,5.02,-1.56,TOT_TAV_2016
406500,3917920,2.36,5.9,6.52,11.35,13.57,18.46,21.37,22.68,16.89,10.08,7.08,0.08,TOT_TAV_2016
406501,3917922,2.76,5.91,6.86,11.48,13.85,18.8,21.74,22.77,17.04,10.38,7.29,0.21,TOT_TAV_2016
406511,3917946,1.08,4.82,4.69,9.59,11.66,16.63,19.73,21.29,15.65,8.56,5.77,-0.84,TOT_TAV_2016
406512,3917948,0.49,4.45,4.01,9.18,11.06,16.01,19.36,21.26,15.46,8.28,5.34,-1.32,TOT_TAV_2016
406513,3917950,1.03,4.78,4.61,9.52,11.58,16.55,19.65,21.23,15.6,8.5,5.71,-0.87,TOT_TAV_2016
406516,3917956,-1.17,2.86,1.66,7.06,8.86,13.8,17.17,19.32,13.56,6.21,3.58,-2.54,TOT_TAV_2016
406517,3917958,-0.97,3.18,1.98,7.38,9.15,14.06,17.45,19.54,13.79,6.41,3.81,-2.31,TOT_TAV_2016
406518,3917960,-0.79,3.38,2.23,7.59,9.38,14.29,17.68,19.74,14.01,6.6,4.01,-2.16,TOT_TAV_2016
