COMID,CAT_WB5100_ANN,NODATA,ACC_WB5100_ANN,ACC_NODATA,TOT_WB5100_ANN,TOT_NODATA,source
3917070,345,0,345,0,345,0,WB5100_ANN_CONUS
3917072,345,0,345,0,345,0,WB5100_ANN_CONUS
3917082,357.03,0,357.03,0,357.03,0,WB5100_ANN_CONUS
3917084,379.78,0,379.78,0,379.78,0,WB5100_ANN_CONUS
3917106,240.13,0,325.13,0,325.13,0,WB5100_ANN_CONUS
3917114,295.34,0,295.34,0,295.34,0,WB5100_ANN_CONUS
3917130,288.27,0,313.87,0,313.87,0,WB5100_ANN_CONUS
3917136,234.59,0,234.59,0,234.59,0,WB5100_ANN_CONUS
3917138,239,0,239,0,239,0,WB5100_ANN_CONUS
3917154,330.37,0,333.14,0,333.14,0,WB5100_ANN_CONUS
3917156,301.86,0,301.86,0,301.86,0,WB5100_ANN_CONUS
3917158,153.69,0,153.69,0,153.69,0,WB5100_ANN_CONUS
3917160,141.68,0,141.68,0,141.68,0,WB5100_ANN_CONUS
3917162,307.58,0,312.91,0,312.91,0,WB5100_ANN_CONUS
3917164,224.17,0,224.17,0,224.17,0,WB5100_ANN_CONUS
3917172,345.12,0,345.12,0,345.12,0,WB5100_ANN_CONUS
3917176,435.37,0,324.56,0,324.56,0,WB5100_ANN_CONUS
3917178,394.61,0,318.23,0,318.23,0,WB5100_ANN_CONUS
3917194,368.55,0,368.55,0,368.55,0,WB5100_ANN_CONUS
3917198,122,0,309.91,0,309.91,0,WB5100_ANN_CONUS
3917200,122,0,297.35,0,297.35,0,WB5100_ANN_CONUS
3917212,488.02,0,488.02,0,488.02,0,WB5100_ANN_CONUS
3917214,329.84,0,329.84,0,329.84,0,WB5100_ANN_CONUS
3917218,122,0,436.92,0,436.92,0,WB5100_ANN_CONUS
3917220,122,0,415.24,0,415.24,0,WB5100_ANN_CONUS
3917228,122,0,122,0,122,0,WB5100_ANN_CONUS
3917230,65.45,0,65.45,0,65.45,0,WB5100_ANN_CONUS
3917244,72.92,0,425.71,0,476.95,0,WB5100_ANN_CONUS
3917250,590.09,0,590.09,0,590.09,0,WB5100_ANN_CONUS
3917256,235.41,0,540.95,0,540.95,0,WB5100_ANN_CONUS
3917268,243,0,528.75,0,528.75,0,WB5100_ANN_CONUS
3917272,542.16,0,554.18,0,554.18,0,WB5100_ANN_CONUS
3917274,243,0,243,0,243,0,WB5100_ANN_CONUS
3917276,601.15,0,521.99,0,521.99,0,WB5100_ANN_CONUS
3917278,398.04,0,498.62,0,498.62,0,WB5100_ANN_CONUS
3917280,243,0,425.26,0,425.26,0,WB5100_ANN_CONUS
3917282,251.24,0,461.59,0,461.59,0,WB5100_ANN_CONUS
3917284,243,0,441.48,0,441.48,0,WB5100_ANN_CONUS
3917286,243,0,243,0,243,0,WB5100_ANN_CONUS
3917912,299.44,0,314.02,0,314.02,0,WB5100_ANN_CONUS
3917914,220.37,0,222.61,0,222.61,0,WB5100_ANN_CONUS
3917916,315.09,0,312.25,0,312.25,0,WB5100_ANN_CONUS
3917918,368.48,0,322.11,0,322.11,0,WB5100_ANN_CONUS
3917920,120.89,0,139.05,0,139.05,0,WB5100_ANN_CONUS
3917922,115.6,0,115.6,0,115.6,0,WB5100_ANN_CONUS
3917946,72.72,0,417.82,0,470.37,0,WB5100_ANN_CONUS
3917948,118.05,0,293.97,0,293.97,0,WB5100_ANN_CONUS
3917950,82.34,0,432.02,0,482.18,0,WB5100_ANN_CONUS
3917956,560.01,0,560.01,0,560.01,0,WB5100_ANN_CONUS
3917958,553.9,0,553.9,0,553.9,0,WB5100_ANN_CONUS
3917960,454.68,0,454.68,0,454.68,0,WB5100_ANN_CONUS
948010089,122,0,116.17,0,116.17,0,WB5100_ANN_CONUS
