COMID,CAT_WBM_AET,CAT_WBM_PET,CAT_WBM_PPT,CAT_WBM_RUN,CAT_WBM_SNW,CAT_WBM_STO,CAT_WBM_TAV,NODATA,source
3917070,344.88,519.77,658.85,315,283.62,62.23,7.2,0,WBM_CAT_CONUS
3917072,343.8,525.07,650.07,306.93,273.87,61,7.35,0,WBM_CAT_CONUS
3917082,330.97,500.96,624.26,293.49,287.66,58.56,6.63,0,WBM_CAT_CONUS
3917084,310.82,506.38,635.66,325.25,288.67,45.36,6.8,0,WBM_CAT_CONUS
3917106,328.44,512.86,601.23,273.02,266.85,56.47,6.96,0,WBM_CAT_CONUS
3917114,327.94,540.3,595.03,267.68,241.69,54.6,7.72,0,WBM_CAT_CONUS
3917130,327.62,538.54,581.61,254.5,237.3,54.99,7.67,0,WBM_CAT_CONUS
3917136,311.96,529.37,551.3,239.51,228.11,46.68,7.4,0,WBM_CAT_CONUS
3917138,287.67,555.6,492.73,205.27,177.2,31.4,8.11,0,WBM_CAT_CONUS
3917154,337.06,530.67,628.89,292.47,261.79,58.21,7.48,0,WBM_CAT_CONUS
3917156,355.72,556.65,582.26,227.25,219.76,69.67,8.17,0,WBM_CAT_CONUS
3917158,360.73,649.67,481.13,120.53,113.93,66.67,10.48,0,WBM_CAT_CONUS
3917160,364.2,637.52,504.38,140.31,124.24,69.33,10.22,0,WBM_CAT_CONUS
3917162,349.98,555.66,557.79,208.47,212.38,70.91,8.13,0,WBM_CAT_CONUS
3917164,367.28,606.51,528.86,162.09,152.68,73.62,9.46,0,WBM_CAT_CONUS
3917172,356.84,569.28,581.5,225.29,206.83,68.37,8.5,0,WBM_CAT_CONUS
3917176,378.12,585.68,542.56,165.19,178.9,96.24,8.94,0,WBM_CAT_CONUS
3917178,371.93,571.39,554.2,183.13,197.48,90.89,8.55,0,WBM_CAT_CONUS
3917194,340.01,538.89,557.49,218.16,221.61,73.81,7.69,0,WBM_CAT_CONUS
3917198,352.35,657.58,455.92,103.76,104.8,63.18,10.64,0,WBM_CAT_CONUS
3917200,333.01,670.26,408.25,75.46,89.32,55.95,10.89,0,WBM_CAT_CONUS
3917212,360.43,603.39,527.6,167.7,160.7,82.21,9.38,0,WBM_CAT_CONUS
3917214,344.67,647.26,470.93,126.37,114.3,59.78,10.42,0,WBM_CAT_CONUS
3917218,351.35,653.87,464.47,113.2,109.08,63.05,10.57,0,WBM_CAT_CONUS
3917220,349.13,654.87,460.53,111.47,107.93,62.2,10.59,0,WBM_CAT_CONUS
3917228,349.13,654.87,460.53,111.47,107.93,62.2,10.59,0,WBM_CAT_CONUS
3917230,294.88,691.34,335.96,41.18,69.5,44.38,11.22,0,WBM_CAT_CONUS
3917244,302.74,690.58,345.28,42.59,70.51,45.95,11.24,0,WBM_CAT_CONUS
3917250,357.82,595.06,537.03,179.8,170.28,84.27,9.18,0,WBM_CAT_CONUS
3917256,349.13,654.87,460.53,111.47,107.93,62.2,10.59,0,WBM_CAT_CONUS
3917268,349.13,654.87,460.53,111.47,107.93,62.2,10.59,0,WBM_CAT_CONUS
3917272,344.69,611.51,517.32,173.03,150.13,68.1,9.59,0,WBM_CAT_CONUS
3917274,349.74,655.05,464.52,114.85,108.43,62.35,10.6,0,WBM_CAT_CONUS
3917276,367.4,600.85,561.17,194.03,164.7,75.01,9.39,0,WBM_CAT_CONUS
3917278,349.44,625.9,511.26,162,135.99,62.62,9.96,0,WBM_CAT_CONUS
3917280,349.53,654.98,463.11,113.65,108.25,62.3,10.6,0,WBM_CAT_CONUS
3917282,358.68,634.36,511.68,153.12,131.1,67.26,10.15,0,WBM_CAT_CONUS
3917284,352.07,655.73,479.8,127.8,110.33,62.93,10.63,0,WBM_CAT_CONUS
3917286,351.9,655.69,478.73,126.89,110.2,62.89,10.63,0,WBM_CAT_CONUS
3917912,358.68,563.55,563.42,205.47,207.16,72.82,8.35,0,WBM_CAT_CONUS
3917914,290.32,564.1,485.25,195.04,167.98,31.3,8.33,0,WBM_CAT_CONUS
3917916,319.81,546.02,539.77,220.45,209.22,57.08,7.86,0,WBM_CAT_CONUS
3917918,366.76,620.87,508.36,142.01,141.48,78.09,9.79,0,WBM_CAT_CONUS
3917920,359.93,650.74,477.98,118.19,112.7,66.31,10.5,0,WBM_CAT_CONUS
3917922,349.98,663.82,438.8,89.11,97.58,61.75,10.77,0,WBM_CAT_CONUS
3917946,304.63,701.2,356.35,51.61,73.99,47.8,11.4,0,WBM_CAT_CONUS
3917948,328.81,673.68,396.03,67.48,85.13,54.36,10.96,0,WBM_CAT_CONUS
3917950,315.58,683.17,368.01,52.55,76.47,49.69,11.13,0,WBM_CAT_CONUS
3917956,397.4,527.25,620.71,224.49,258.56,135.48,7.46,0,WBM_CAT_CONUS
3917958,360.08,534.54,603.99,244.45,238.81,87.03,7.68,0,WBM_CAT_CONUS
3917960,339.07,541.86,597.26,258.39,227.24,59.89,7.88,0,WBM_CAT_CONUS
948010089,346.98,666.72,430.01,83.36,94.34,60.66,10.83,0,WBM_CAT_CONUS
