COMID,ACC_WBM_DT_AET_2012,ACC_WBM_DT_PET_2012,ACC_WBM_DT_PPT_2012,ACC_WBM_DT_RUN_2012,ACC_WBM_DT_SNW_2012,ACC_WBM_DT_STO_2012,ACC_WBM_DT_TAV_2012,ACC_NODATA,source
3917070,379.55,545.6,645.34,285.89,267.55,61.87,7.84,0,WBM_DT_2012_ACC_CONUS
3917072,378.81,550.6,636.53,276.81,257.85,60.62,7.97,0,WBM_DT_2012_ACC_CONUS
3917082,366.71,506.48,697.3,260.31,273.02,58.27,6.79,0,WBM_DT_2012_ACC_CONUS
3917084,347.9,526.55,655.49,297.52,273.68,45.11,7.34,0,WBM_DT_2012_ACC_CONUS
3917106,354.86,525.05,661.07,273.4,265.51,50.05,7.29,0,WBM_DT_2012_ACC_CONUS
3917114,359.96,574.31,582.8,234.04,213.34,54.06,8.58,0,WBM_DT_2012_ACC_CONUS
3917130,353.26,555.46,598.73,215.77,221.1,54.45,8.1,0,WBM_DT_2012_ACC_CONUS
3917136,346.57,548.92,630.31,204.61,215.36,46.33,7.9,0,WBM_DT_2012_ACC_CONUS
3917138,321.89,593,557.11,171.03,165.99,31.01,9.06,0,WBM_DT_2012_ACC_CONUS
3917154,372.58,556.91,621.36,265.71,245.98,58.54,8.13,0,WBM_DT_2012_ACC_CONUS
3917156,384.66,591.42,571.02,188.61,188.51,68.97,9,0,WBM_DT_2012_ACC_CONUS
3917158,392.91,672.01,471.25,88.72,105.01,64.18,10.91,0,WBM_DT_2012_ACC_CONUS
3917160,393.98,663.37,494.99,107.9,114.04,67.51,10.76,0,WBM_DT_2012_ACC_CONUS
3917162,355.49,559.02,594.07,212.4,217.89,55.76,8.19,0,WBM_DT_2012_ACC_CONUS
3917164,395.66,641.72,520.22,126.95,141.18,72.43,10.24,0,WBM_DT_2012_ACC_CONUS
3917172,387.77,601.32,570.8,192.18,192.31,67.56,9.23,0,WBM_DT_2012_ACC_CONUS
3917176,364.82,568.73,587.14,204.98,210.37,61.08,8.43,0,WBM_DT_2012_ACC_CONUS
3917178,361.51,564.42,590.75,209.55,213.89,59.12,8.32,0,WBM_DT_2012_ACC_CONUS
3917194,365.26,558.23,564.49,178.16,207.6,73.25,8.18,0,WBM_DT_2012_ACC_CONUS
3917198,371.07,586.28,568.68,184.82,192.65,63.35,8.86,0,WBM_DT_2012_ACC_CONUS
3917200,371.7,591.54,559.62,176.7,185.96,63.07,8.99,0,WBM_DT_2012_ACC_CONUS
3917212,381.22,626.27,516.99,124.99,148.42,81.06,9.87,0,WBM_DT_2012_ACC_CONUS
